Strain,Isoprenol,Target,CV[%]
NT,202.7048,Control,11.693237093836071
IY2211,202.37458,PP_4192,20.285295295146483
IY1586,201.67347,PP_4549,1.2587987920130748
IY2024,201.45567,PP_0168,9.5706343676072
IY1592,200.386,PP_0437,9.84375867762669
IY2210,199.59262,PP_4193,8.445253003388466
IY1586,199.30693,PP_4549,1.2587987920130748
IY1657,198.93693,PP_1607,2.025206082909032
IY1667,198.61733,PP_3755,3.372632650295884
IY1681,198.61673,PP_3280,2.782978574524669
IY1681,198.21647,PP_3280,2.782978574524669
NT,197.79113,Control,11.693237093836071
IY2188,197.1834,PP_0813,26.826575563069042
IY1657,196.73913,PP_1607,2.025206082909032
IY1672,196.59707,PP_4678,19.517105650981797
IY1687,195.93807,PP_4702,11.399661837700544
IY1658,195.87473,PP_1607,9.108958457449924
IY1686,195.86847,PP_4487,2.670051734001455
IY1680,195.53167,PP_2137,13.20002997685221
IY1672,194.69893,PP_4678,19.517105650981797
IY1677,194.6426,PP_4667,7.915852390012113
IY1593,194.47933,PP_2589,2.0816078452221043
IY1593,193.51007,PP_2589,2.0816078452221043
IY1672,193.13493,PP_4678,19.517105650981797
IY2038,193.01813,PP_4188,7.3235068425001
NT,192.63713,Control,11.693237093836071
IY1686,192.4936,PP_4487,2.670051734001455
IY1667,192.25033,PP_3755,3.372632650295884
IY2043,191.91233,PP_0103,6.21482255336003
IY1682,191.32327,PP_2471,17.505552709912013
IY1657,191.24467,PP_1607,2.025206082909032
IY1662,191.22647,PP_3071,5.939094174373513
IY1594,190.6176,PP_3744,13.498230524012943
IY1452,190.58027,PP_1607,20.218015865140522
IY1681,189.00993,PP_3280,2.782978574524669
IY2043,188.11747,PP_0103,6.21482255336003
IY1683,187.72247,PP_4737,1.8981261102919829
IY1593,187.13393,PP_2589,2.0816078452221043
IY1678,185.972,PP_3122,5.181102687302178
IY1683,185.8906,PP_4737,1.8981261102919829
IY1686,185.82607,PP_4487,2.670051734001455
IY1667,185.65533,PP_3755,3.372632650295884
IY2021,185.4316,PP_5417,7.483209412086128
NT,184.31093,Control,11.693237093836071
IY2204,183.94267,PP_1457,3.1302353562776575
NT,181.88373,Control,11.693237093836071
IY1690,181.74553,PP_4636,3.7754979697536624
IY1685,181.2728,PP_2213,6.661448286016455
IY1685,180.99287,PP_2213,6.661448286016455
IY1683,180.94,PP_4737,1.8981261102919829
IY1665,180.5176,PP_3754,1.9792876191952136
IY1452,179.964,PP_1607,20.218015865140522
IY1659,179.62787,PP_1444,12.993453506343007
IY1676,179.24307,PP_0597,8.353953594242022
IY1669,178.7444,PP_1394,5.525052628198421
IY2057,178.54807,PP_4187,23.598607540219746
IY1658,178.4226,PP_1607,9.108958457449924
IY2027,178.33273,PP_4121,12.725141767274197
NT,177.337,Control,11.693237093836071
IY1690,177.31487,PP_4636,3.7754979697536624
NT,177.1856,Control,11.693237093836071
IY2028,176.76113,PP_4122,2.186486381847122
NT,176.13507,Control,11.693237093836071
IY2058,175.90227,PP_0691,14.52634279332607
IY2024,175.45973,PP_0168,9.5706343676072
IY1670,175.40987,PP_3365,1.9797388689795832
IY1665,175.34867,PP_3754,1.9792876191952136
IY2204,174.93476,PP_1457,3.1302353562776575
IY1670,174.49433,PP_3365,1.9797388689795832
IY1662,174.11813,PP_3071,5.939094174373513
IY1678,173.96973,PP_3122,5.181102687302178
IY1665,173.8582,PP_3754,1.9792876191952136
IY2204,173.79804,PP_1457,3.1302353562776575
IY1668,173.33027,PP_1157,2.921642696657848
IY1674,172.9668,PP_3578,3.7591104576200856
IY1669,172.95373,PP_1394,5.525052628198421
IY2186,172.53407,PP_1319,12.586401833757836
IY2056,172.1088,PP_4175,1.861271236321448
