Nontarget_abundance,Measurement Type,target_abundance,log2_change,p_value,log10_p_value
,PP_1021,3439729.0,,,
,PP_1022,78089776.56666666,,,
,PP_1023,37997076.0,,,
,PP_1024,102665534.46666665,,,
,PP_1025,41275441.1,,,
,PP_1026,302443.9,,,
,PP_1027,1883847.4666666668,,,
,PP_1031,36398519.93333334,,,
,PP_1032,40890771.266666666,,,
,PP_1037,122269202.53333335,,,
,PP_1056,777694.2666666666,,,
,PP_1058,2195656.3000000003,,,
,PP_1060,8073185.8,,,
,PP_1062,760165.3333333334,,,
,PP_1063,2562203.3333333335,,,
,PP_1066,939693.5333333333,,,
,PP_1068,1122133.8,,,
,PP_1069,2402986.2666666666,,,
,PP_1070,5381119.533333333,,,
,PP_1071,36411670.6,,,
,PP_1073,329006.8666666667,,,
,PP_1074,1120875.8,,,
,PP_1075,2099055.766666667,,,
,PP_1077,1264396.0,,,
,PP_1078,733741.6333333333,,,
,PP_1079,7090026.8,,,
,PP_1081,6949769.666666667,,,
,PP_1082,27008515.666666668,,,
,PP_1084,112115127.06666666,,,
,PP_1085,1148349.3333333333,,,
,PP_1086,18394748.333333332,,,
,PP_1087,2379477.8000000003,,,
,PP_1088,85663190.26666667,,,
,PP_1092,893686.2,,,
,PP_1097,36658006.0,,,
,PP_1098,4678595.266666667,,,
,PP_1099,46643824.800000004,,,
,PP_1100,3135271.6666666665,,,
,PP_1108,913461.6,,,
,PP_1111,1345377.5333333334,,,
,PP_1113,1072484.2333333334,,,
,PP_1120,781753.3333333334,,,
,PP_1121,24618332.0,,,
,PP_1122,2424911.0,,,
,PP_1125,1103438.7333333334,,,
,PP_1126,476893.60000000003,,,
,PP_1127,505776.5,,,
,PP_1129,1583867.0333333332,,,
,PP_1131,11904688.333333334,,,
,PP_1134,2700126.6666666665,,,
,PP_1135,650429.0,,,
,PP_1137,2747713.0,,,
,PP_1138,2526479.8000000003,,,
,PP_1141,24602860.400000002,,,
,PP_1142,136936.5,,,
,PP_1143,1881875.0,,,
,PP_1145,23689805.96666667,,,
,PP_1146,1439640.3333333333,,,
,PP_1157 PP_3365,24390398.633333337,,,
,PP_1161,450189.0,,,
,PP_1162,1236597.1333333333,,,
,PP_1177,1315510.5333333334,,,
,PP_1179,25412571.333333332,,,
,PP_1184,1303921.1333333333,,,
,PP_1185,19603466.566666666,,,
,PP_1186,5790166.733333333,,,
,PP_1187,7037642.666666667,,,
,PP_1190,3331542.1333333333,,,
,PP_1191,861012.0,,,
,PP_1197,4337452.666666667,,,
,PP_1200,762816.0,,,
,PP_1201,1031558.5333333332,,,
,PP_1202,966751.0,,,
,PP_1205,40316415.666666664,,,
,PP_1206,96036971.10000001,,,
,PP_1207,1917359.4666666668,,,
,PP_1209,491693.93333333335,,,
,PP_1210,20275435.866666663,,,
,PP_1213,76737071.43333334,,,
,PP_1214,1176474.9333333333,,,
,PP_1216,412550.4666666666,,,
,PP_1217,1033482.9333333332,,,
,PP_1218,399894.5,,,
,PP_1219,3054784.3333333335,,,
,PP_1220,986469.3333333334,,,
,PP_1221,2496223.9666666663,,,
,PP_1222,22496522.2,,,
,PP_1223,17970939.866666667,,,
,PP_1224,2899089.0666666664,,,
,PP_1230,4470550.600000001,,,
,PP_1231,176186.03333333333,,,
,PP_1232,2783865.5,,,
,PP_1235,4758133.899999999,,,
,PP_1236,3133566.6666666665,,,
,PP_1237,19156548.166666668,,,
,PP_1238,23503366.066666666,,,
,PP_1240,12609750.133333333,,,
,PP_1245,697666.3333333334,,,
,PP_1246,1510337.9333333333,,,
,PP_1251,17332372.900000002,,,
,PP_1261,5999502.333333333,,,
,PP_1262,1634593.8,,,
,PP_1266,1079389.3333333333,,,
,PP_1269,191808.0,,,
,PP_1272,792551.2,,,
,PP_1274,2497101.6,,,
,PP_1289,285976.2,,,
,PP_1291,5609130.0,,,
,PP_1292,427545.3333333333,,,
,PP_1295,4421375.733333333,,,
,PP_1296,1305176.4666666666,,,
,PP_1297,46655631.53333333,,,
,PP_1298,2973610.6,,,
,PP_1300,4603956.333333333,,,
,PP_1301,1114293.1333333333,,,
,PP_1302,4825099.466666667,,,
,PP_1303,11458676.200000001,,,
,PP_1304,88867655.86666666,,,
,PP_1309,7162664.266666667,,,
,PP_1310,325929.3333333333,,,
,PP_1311,20065414.599999998,,,
,PP_1312,3284225.6333333333,,,
,PP_1314,8648985.733333334,,,
,PP_1315,38890763.86666667,,,
,PP_1316,42522527.266666666,,,
,PP_1317,9529885.333333334,,,
,PP_1318,5891843.133333333,,,
,PP_1319,10696319.366666667,,,
,PP_1320,1929809.1333333335,,,
,PP_1322,3462891.733333333,,,
,PP_1323,1716777.5333333332,,,
,PP_1325,22037126.566666666,,,
,PP_1326,4263625.466666666,,,
,PP_1328,931278.6666666666,,,
,PP_1329,3226148.366666667,,,
,PP_1331,1715972.5333333332,,,
,PP_1332,9967744.066666666,,,
,PP_1333,10517200.066666668,,,
,PP_1334,108071.0,,,
,PP_1335,9586666.0,,,
,PP_1337,4912043.066666666,,,
,PP_1338,9058633.799999999,,,
,PP_1339,10049153.733333334,,,
,PP_1341,26427439.266666666,,,
,PP_1342,10763699.566666668,,,
,PP_1343,18574430.46666667,,,
,PP_1345,82968093.43333334,,,
,PP_1346,16913252.733333334,,,
,PP_1347,5379124.666666667,,,
,PP_1348,5727699.933333334,,,
,PP_1349,513817.5,,,
,PP_1352,15424512.066666668,,,
,PP_1353,2095781.6666666667,,,
,PP_1355,1424315.3666666665,,,
,PP_1358,2034578.4666666668,,,
,PP_1359,2335874.0,,,
,PP_1360,74683333.33333333,,,
,PP_1361,803793347.8000001,,,
,PP_1362,50719813.03333334,,,
,PP_1363,230644.33333333334,,,
,PP_1365,1658719.6666666667,,,
,PP_1366,71963939.8,,,
,PP_1367,6270153.666666667,,,
,PP_1369,209379.0,,,
,PP_1371,5911989.266666667,,,
,PP_1372,5210731.533333334,,,
,PP_1373,2437299.1333333333,,,
,PP_1375,783231.7333333334,,,
,PP_1377,169543.4,,,
,PP_1378,110233.0,,,
,PP_1379,4781871.633333334,,,
,PP_1380,3882581.533333333,,,
,PP_1384,9739472.933333334,,,
,PP_1385,15166369.866666665,,,
,PP_1386,10911123.933333334,,,
,PP_1387,331569.0,,,
,PP_1389,4691219.466666667,,,
,PP_1392,3141339.0666666664,,,
,PP_1397,323741.3333333333,,,
,PP_1398,201377.93333333335,,,
,PP_1400,2162772.3333333335,,,
,PP_1403,1810344.3999999997,,,
,PP_1406,1707539.1333333335,,,
,PP_1412,536159.4,,,
,PP_1418,2491536.2,,,
,PP_1423,3892509.5666666664,,,
,PP_1426,4431433.333333333,,,
,PP_1427,1193931.5999999999,,,
,PP_1428,534905.7999999999,,,
,PP_1429,5075773.8,,,
,PP_1430,18503703.2,,,
,PP_1431,13563807.700000001,,,
,PP_1432,10951471.333333334,,,
,PP_1433,1070567.0,,,
,PP_1434,3142800.8000000003,,,
,PP_1436,5293562.933333334,,,
,PP_1441,461783.9,,,
,PP_1443,49512350.333333336,,,
,PP_1444,15098652.566666668,,,
,PP_1453,404974.60000000003,,,
,PP_1457,18450108.96666667,,,
,PP_1459,3363057.0,,,
,PP_1461,6036710.0,,,
,PP_1462,18951369.0,,,
,PP_1463,1140387.8,,,
,PP_1465,46371801.0,,,
,PP_1470,20603972.333333332,,,
,PP_1471,32664488.0,,,
,PP_1475,1110022.3333333333,,,
,PP_1476,3289685.4,,,
,PP_1477,523177.93333333335,,,
,PP_1478,13530138.333333334,,,
,PP_1481,9343350.933333334,,,
,PP_1486,3039365.466666667,,,
,PP_1487,351617.85,,,
,PP_1488,7610445.666666667,,,
,PP_1492,183134.0,,,
,PP_1494,2803364.8000000003,,,
,PP_1496,58834817.56666666,,,
,PP_1497,1127670.1,,,
,PP_1498,1322923.4000000001,,,
,PP_1499,2715014.733333333,,,
,PP_1502,5588227.733333333,,,
,PP_1503,478540.4,,,
,PP_1505,28111138.96666667,,,
,PP_1506,30813201.333333332,,,
,PP_1507,1055694.4666666666,,,
,PP_1510,2468579.8666666667,,,
,PP_1513,1772984.2999999998,,,
,PP_1517,960390.1333333333,,,
,PP_1518,7978588.666666667,,,
,PP_1519,1620018.0,,,
,PP_1520,1299489.8,,,
,PP_1522,1068573.2666666666,,,
,PP_1525,840510.8333333334,,,
,PP_1526,1223196.6666666667,,,
,PP_1529,1839740.1666666667,,,
,PP_1530,15068920.200000001,,,
,PP_1549,2929954.266666667,,,
,PP_1576,194309.0,,,
,PP_1588,11879352.866666667,,,
,PP_1589,5575823.2,,,
,PP_1590,4582199.600000001,,,
,PP_1591,45227402.333333336,,,
,PP_1592,94461041.46666665,,,
,PP_1593,2847599.1999999997,,,
,PP_1594,18517281.766666666,,,
,PP_1596,600861.2666666667,,,
,PP_1597,1753112.7333333334,,,
,PP_1598,655237.4666666667,,,
,PP_1599,15782782.466666667,,,
,PP_1600,13901982.066666668,,,
,PP_1601,564916.6666666666,,,
,PP_1602,3401333.1333333333,,,
,PP_1603,4627493.733333333,,,
,PP_1604,425532.8,,,
,PP_1606,4967694.366666666,,,
,PP_1607,11535387.066666668,,,
,PP_1610,49622899.13333333,,,
,PP_1611,2647075.466666667,,,
,PP_1612,26754018.133333337,,,
,PP_1614,1263845.4,,,
,PP_1616,1578288.8,,,
,PP_1617,223285.0,,,
,PP_1618,1237985.0,,,
,PP_1619,788858.7333333334,,,
,PP_1620,858324.2666666666,,,
,PP_1622,1002643.4666666667,,,
,PP_1623,812211.2999999999,,,
,PP_1625,591443.6666666666,,,
,PP_1626,13757098.366666667,,,
,PP_1628,534245.7999999999,,,
,PP_1629,11662995.933333332,,,
,PP_1633,1217020.6666666667,,,
,PP_1635,28898202.46666667,,,
,PP_1636,1570000.0,,,
,PP_1638,8931896.4,,,
,PP_1641,329566.8,,,
,PP_1643,769454.6666666666,,,
,PP_1644,889111.3,,,
,PP_1646,4177723.266666667,,,
,PP_1648,169491.2,,,
,PP_1650,1198283.1333333333,,,
,PP_1654,1402362.3,,,
,PP_1655,442985.0,,,
,PP_1656,32165130.03333333,,,
,PP_1657,442586.4666666666,,,
,PP_1658,948517.2000000001,,,
,PP_1663,2743945.4,,,
,PP_1664,456925.4,,,
,PP_1665,13949220.133333333,,,
,PP_1666,3705332.8000000003,,,
,PP_1668,1263174.9,,,
,PP_1679,373847.4,,,
,PP_1686,2928411.0,,,
,PP_1694,5610000.0,,,
,PP_1695,9300381.799999999,,,
,PP_1702,14016329.866666667,,,
,PP_1714,19580648.933333334,,,
,PP_1719,56287717.6,,,
,PP_1720,7020943.333333333,,,
,PP_1721,463352.6666666667,,,
,PP_1722,796097.0,,,
,PP_1726,7168530.0,,,
,PP_1730,9737277.466666667,,,
,PP_1732,3291776.9333333336,,,
,PP_1733,12668177.633333333,,,
,PP_1734,236722.7,,,
,PP_1737,480311.6666666667,,,
,PP_1741,2705033.3333333335,,,
,PP_1743,1140402.8,,,
,PP_1752,19209022.433333334,,,
,PP_1755,2073400.6333333335,,,
,PP_1756,5000658.733333333,,,
,PP_1757,747741.6,,,
,PP_1758,169424.0,,,
,PP_1759,175541.7,,,
,PP_1763,2887277.1333333333,,,
,PP_1764,4952557.666666667,,,
,PP_1765,2546805.2666666666,,,
,PP_1766,378803.60000000003,,,
,PP_1767,36744987.4,,,
,PP_1768,12210345.533333333,,,
,PP_1769,7103520.766666667,,,
,PP_1770,13274672.466666667,,,
