Protein.Group,Control_log2_FC,Control_log10_pval,PP_0368_log2_FC,PP_0368_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_15_log2_FC,PP_0812_15_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_0751_PP_0812_log2_FC,PP_0751_PP_0812_log10_pval,PP_1317_PP_0812_log2_FC,PP_1317_PP_0812_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval
PP_3151,,,,,,,,,1.0579339585809155,1.7511824756273469,,,,,,,,,,,,,,
PP_4249,,,,,,,,,-1.4018739911117715,1.3833766885616914,,,,,,,,,,,,,,
PP_4561,,,,,,,,,-2.708828384595521,2.1246895594538797,,,,,,,,,,,,,,
PP_4683,,,,,,,,,-1.0872396542827816,1.579275486763502,,,,,,,,,,,,,,
PP_4906,,,,,,,,,-1.0300052665587116,2.590816805296665,,,,,,,,,,,,,,
PP_0088,,,,,,,,,,,1.3693361061220866,1.9399794302529414,1.0959505530978102,2.577855775071553,1.656133828558426,2.914458480125659,,,,,,,,
PP_0168,,,,,,,,,,,1.318421646938595,2.8106834132826473,,,,,,,,,,,,
PP_0261,,,,,,,,,,,1.0830759245540773,1.797992894892176,,,1.4519760520476475,1.4037529697669426,,,,,,,,
PP_0335,,,,,,,,,,,1.8063386620852864,1.4037991813184918,,,,,,,,,,,,
PP_0343,,,,,,,,,,,-1.1517289419526826,1.7518103684846509,,,,,,,,,,,,
PP_0542,,,,,,,,,,,1.173627989543005,1.8262856492305852,,,2.006362139767492,2.52634396164163,,,,,,,,
PP_0883,,,,,,,,,,,1.5582447124985341,2.9229696481281686,,,,,,,,,,,,
PP_0988,,,,,,,,,,,1.370455076547564,1.8334134635899804,,,-3.0607040994076686,1.9252198186503553,,,,,,,3.0766902414511894,2.2601059633253766
PP_1120,,,,,,,,,,,1.717412501616549,1.7424300700523525,,,,,,,,,,,,
PP_2008,,,,,,,,,,,2.1635945963985055,2.80547784247523,,,,,,,,,,,,
PP_2053,,,,,,,,,,,1.1062046492725028,1.6170719121485926,,,2.46195774606415,2.710502241370328,,,,,,,,
PP_2345,,,,,,,,,,,1.844327914787923,1.8179550299045968,,,,,,,,,,,,
PP_3174,,,,,,,,,,,1.8235738741760645,1.7143569233228937,,,2.5102352209985637,1.9279845771430488,,,,,,,,
PP_3707,,,,,,,,,,,1.3486776517649124,1.4510521175414766,,,,,,,,,,,,
PP_3778,,,,,,,,,,,1.1426640352462858,1.4319973133450008,,,,,,,,,,,3.708944487645897,1.5419148671981588
PP_3988,,,,,,,,,,,1.475137903805878,1.54733457813974,,,,,,,,,,,,
PP_4004,,,,,,,,,,,1.7419990612029346,1.5646186937786262,,,,,,,,,,,,
PP_4775,,,,,,,,,,,-1.282349011063143,1.3070899990889817,,,-3.7007749598476374,3.2494884884381685,,,,,,,,
PP_4819,,,,,,,,,,,1.597898997069857,1.373722623973982,,,,,2.084385125663644,2.0350183657515952,,,,,,
PP_4961,,,,,,,,,,,2.735395982940581,1.8982092590237296,-1.131425647928599,2.442015118488187,,,,,,,,,,
PP_5223,,,,,,,,,,,1.3851517235264694,2.453279989856794,,,,,,,,,,,,
A0A140FW18,,,,,,,,,,,,,-1.0827152967817677,2.1582478299075314,,,,,,,,,,
PP_0004,,,,,,,,,,,,,-3.847235061745796,2.470256067301096,,,,,,,4.0644403785865695,3.263936623290555,,
PP_0399,,,,,,,,,,,,,-1.7517694437333113,4.101418285350483,,,,,,,,,,
PP_0693,,,,,,,,,,,,,-2.0527177668334695,1.4556556331087742,-3.4933238671574016,1.5713536956454097,,,,,,,,
PP_0769,,,,,,,,,,,,,1.1319635360754081,1.6713682037314166,,,,,,,,,,
PP_0914,,,,,,,,,,,,,-1.4961122988681899,1.595936344432947,,,,,,,,,,
PP_0944,,,,,,,,,,,,,-3.0780701000902333,2.1297717207437357,,,,,,,,,,
PP_1057,,,,,,,,,,,,,-1.6761610681919965,2.6947515918617158,,,,,,,,,,
PP_1060,,,,,,,,,,,,,1.024242057469013,1.3223417641851511,1.203768105301606,1.9368567135692343,,,,,,,,
PP_1087,,,,,,,,,,,,,-2.4602175308443406,1.7719125035577938,,,,,,,,,,
PP_1152,,,,,,,,,,,,,-1.2980532555609918,1.7819530914142498,,,,,,,,,,
PP_1412,,,,,,,,,,,,,-2.1700434129312627,1.3917579202202848,,,,,,,,,,
PP_1513,,,,,,,,,,,,,-2.672617595286549,1.826664433300891,,,,,,,,,,
PP_1623,,,,,,,,,,,,,-1.1226832523187826,2.0154928939365995,,,,,,,,,,
PP_1782,,,,,,,,,,,,,-2.4920406297248174,2.5873446916798732,-3.254719453104009,2.2759638366968766,,,,,,,,
PP_1968,,,,,,,,,,,,,-1.8073882609787264,1.6482897541128292,2.7802208723749695,1.3381452887385428,,,,,,,,
PP_1982,,,,,,,,,,,,,-2.809990529187063,3.00639645395815,-3.543961109502959,5.312637399305423,,,,,1.0024955653908798,2.408181641314646,1.3434018331776167,3.0460932456912846
PP_1995,,,,,,,,,,,,,-1.066914976950225,2.9593425956085335,,,,,,,,,,
PP_2006,,,,,,,,,,,,,-3.1174330001449473,1.5921415172232463,3.1837547357358056,3.5908416381226846,,,,,,,3.978853922783759,3.3861129357379607
PP_2155,,,,,,,,,,,,,2.6054592071287805,2.103606200660857,,,,,,,,,,
PP_2223,,,,,,,,,,,,,-1.2124925071041137,1.7341807955120974,,,,,,,,,,
PP_2301,,,,,,,,,,,,,-1.3070547388783014,3.24439643584495,,,,,,,,,,
PP_2668,,,,,,,,,,,,,-1.4856808296309683,1.6346563250404647,,,,,,,,,,
PP_2678,,,,,,,,,,,,,-1.204886780313245,1.6121435265388546,,,,,,,,,,
PP_2792,,,,,,,,,,,,,-3.0805922186127,3.1007206341205444,3.1330119386253497,4.831759093018734,,,,,,,,
PP_2793,,,,,,,,,,,,,-3.3433858408686863,2.533825072722602,2.8974256276171375,3.0325399471424292,,,,,,,5.631440532830437,1.4408628243849035
PP_3100,,,,,,,,,,,,,-1.244266897403412,1.875644124233202,,,,,,,,,,
PP_3378,,,,,,,,,,,,,-1.9121610788194843,1.8106687081859523,-1.570102456350588,2.011750320464961,,,,,,,2.112453253827579,1.6643504696069837
PP_3379,,,,,,,,,,,,,-1.2243406247780164,1.599688749656585,-2.609314557175313,1.6001804093040382,,,,,,,1.8192911913255758,2.1476886450516415
PP_3612,,,,,,,,,,,,,-4.66405582199755,2.3553379409106285,,,,,,,,,,
PP_3901,,,,,,,,,,,,,-1.539223460050023,1.6344261829434743,-2.5597685112329964,2.4629975634493375,,,,,,,,
PP_4265,,,,,,,,,,,,,-1.1277174526523486,2.1975509147070516,,,,,,,,,,
PP_4343,,,,,,,,,,,,,-3.2886012244748954,1.3559015294861665,,,,,,,,,,
PP_4477,,,,,,,,,,,,,1.8704456967413883,2.133392432143382,,,,,,,,,,
PP_4554,,,,,,,,,,,,,-2.5688427007755847,2.1777245234314853,,,,,,,,,3.8726768986296425,1.7073132558864803
PP_4718,,,,,,,,,,,,,-1.2213063882787487,2.406284556189112,,,,,,,,,,
PP_4722,,,,,,,,,,,,,-1.042234515034184,2.91637101572668,,,,,,,,,1.8960345575128152,2.0765866588780155
PP_4729,,,,,,,,,,,,,-3.731644527276677,4.451100529612779,,,,,,,,,5.294967703688139,1.8875166302698592
PP_4847,,,,,,,,,,,,,-4.0971264433891115,1.8059475958315871,,,,,,,,,2.5762365639151525,1.7186010005734509
PP_4922,,,,,,,,,,,,,-1.2905400631679604,2.11005856191518,,,,,,,1.1339348421603845,1.390268490659519,,
Q9FD70,,,,,,,,,,,,,-6.42911251795677,3.077517660568894,,,,,,,,,,
YNR043W,,,,,,,,,,,,,1.219205762250433,4.0169634162882195,,,,,,,,,,
A0A140FVW8,,,,,,,,,,,,,,,1.890351023667926,1.6354617182293134,,,,,,,,
A0A140FVX4,,,,,,,,,,,,,,,-2.1802059149764395,2.709120578205499,,,,,,,,
A0A140FW08,,,,,,,,,,,,,,,-2.2041285567182127,2.8741054843006006,,,,,,,,
A0A140FW43,,,,,,,,,,,,,,,2.8874325033167376,1.7606654980196583,,,,,,,,
A0A140FWJ4,,,,,,,,,,,,,,,1.7067198743219631,1.3758798408415014,,,,,,,,
A0A140FWK0,,,,,,,,,,,,,,,-1.4669393514706885,1.4021394360156125,,,,,,,,
PP_0001,,,,,,,,,,,,,,,-1.12587410018882,1.5510822351618934,,,,,1.6382258553111237,1.5824680894285503,,
PP_0005,,,,,,,,,,,,,,,2.2866598867503427,1.4724014513490895,,,,,,,,
PP_0139,,,,,,,,,,,,,,,1.2493553263346309,4.712490152921635,,,,,,,,
PP_0155,,,,,,,,,,,,,,,-2.559331528051558,3.0276075423111717,,,,,,,,
PP_0194,,,,,,,,,,,,,,,1.3129158312631963,2.2622505608920846,,,,,,,,
PP_0196,,,,,,,,,,,,,,,-3.770529766087693,2.0917937484901064,,,,,,,,
PP_0202,,,,,,,,,,,,,,,1.035371756084097,2.774121684710309,,,,,,,,
PP_0354,,,,,,,,,,,,,,,4.408691297945836,3.4769660000073865,,,,,,,,
PP_0357,,,,,,,,,,,,,,,1.7956897810117212,2.469312543505272,,,,,,,,
PP_0375,,,,,,,,,,,,,,,-5.436253785966653,1.8610001289523437,,,,,,,,
PP_0376,,,,,,,,,,,,,,,-4.074695536528713,2.563802160735189,2.150224674609684,1.5717674942597468,,,1.6805423431448163,1.3575269838582698,,
PP_0377,,,,,,,,,,,,,,,-2.7631359396968738,1.80326970485805,,,,,,,,
PP_0378,,,,,,,,,,,,,,,-3.4784751644187026,6.767224587157866,,,,,,,2.536958617465565,1.9333712925858753
PP_0379,,,,,,,,,,,,,,,-3.047958381569255,4.229960821848623,,,,,,,,
PP_0386,,,,,,,,,,,,,,,2.28243632600722,1.6622869301329417,,,,,,,,
PP_0473,,,,,,,,,,,,,,,-1.1185225951442026,2.894375276109389,,,,,,,,
PP_0482,,,,,,,,,,,,,,,1.0245509598827127,3.0532488329326988,,,,,,,,
PP_0536,,,,,,,,,,,,,,,1.6847511244150548,2.259140636137336,,,,,,,,
PP_0538,,,,,,,,,,,,,,,-1.3757250279934892,3.419748948192857,,,,,,,,
PP_0544,,,,,,,,,,,,,,,1.9855055246575926,2.0255899761235376,,,-1.1673513401746098,1.4171240977360593,,,2.940887285585168,2.0760666400682433
PP_0570,,,,,,,,,,,,,,,1.3637258918563642,1.6648420105605166,,,,,,,,
PP_0581,,,,,,,,,,,,,,,2.340136313902156,1.4780355268146272,,,,,,,,
PP_0619,,,,,,,,,,,,,,,2.8849551483678493,2.180673554000457,,,,,,,,
PP_0654,,,,,,,,,,,,,,,2.0342335837054093,1.744178794158724,,,,,,,,
