Protein.Group,PRT1093_PP_0528_PP_0751_PP_0812_PP_0815_log2_change,PRT1093_PP_0528_PP_0751_PP_0812_PP_0815_log10_p_value,PRT1093_PP_0528_PP_0751_PP_0813_PP_0815_log2_change,PRT1093_PP_0528_PP_0751_PP_0813_PP_0815_log10_p_value,PRT1093_PP_0368_PP_0751_PP_0813_PP_0815_log2_change,PRT1093_PP_0368_PP_0751_PP_0813_PP_0815_log10_p_value,PRT1093_PP_0368_PP_0751_PP_0814_PP_0815_log2_change,PRT1093_PP_0368_PP_0751_PP_0814_PP_0815_log10_p_value
PP_0166,1.286040682646986,3.609917830354814,1.102462045361854,4.300458437572517,,,1.14606129213743,1.8035849316850774
PP_0167,2.1000028198112335,1.5585420620738528,1.9930528767585065,7.500468119071488,,,,
PP_0173,1.868912971370723,1.3769136835154732,1.2552344324891829,2.060038408766839,1.5316818853152439,4.488450534703876,1.1843691117381276,1.309534669501057
PP_0183,,,0.5876615451959902,2.4925868618499685,0.5043751692516546,2.6506268063122462,,
PP_0184,,,0.13512511254395795,1.5944922144286382,0.1539828536603557,2.4235364336298537,,
PP_0188,0.3786881924771285,2.4333783897766303,,,,,0.32857762457668,1.3665308349881495
PP_0189,,,0.3549339899646616,2.3533808206269473,0.23904647030061565,2.7770689118445433,0.30935943895483853,2.6280067187951723
PP_0202,,,,,-2.1846855938664085,1.3277056649159784,,
PP_0213,,,-0.835494331343619,1.4995532317626048,,,,
PP_0215,,,1.31861079676136,1.850073764425141,1.0196054923166329,2.0046507342489677,,
PP_0228,1.7856552168067734,4.973159749600959,1.5086254210082346,2.3547821053478137,1.4261445562144714,3.860394180894196,1.9010080510106961,2.068611705436986
PP_0234,0.4771128922496161,1.83825814432413,,,0.6281080387107294,1.9523577397250316,0.7262278196478941,1.5980531773185127
PP_0243,,,,,0.45721326651979577,4.679248711482952,,
PP_0245,-0.942165484848949,1.6462638311535815,-3.34424398795223,5.607261082838271,-1.3753031436097638,4.6271157219880585,-1.2420214292664633,4.366130964211736
PP_0258,,,,,0.4395184158482708,2.199770594408262,,
PP_0260,1.125087668607216,2.531712220241159,,,,,1.5713181968337921,2.211306604144651
PP_0268,,,0.30107086970053887,2.4725725806490337,0.3353210752007799,2.335289305557119,0.452126858444019,1.8510443638215
PP_0282,1.0609296661143586,1.5828788508744893,,,0.9854203838987701,4.605897596974597,1.0086359523544473,1.552032756735229
PP_0287,3.170084724129137,1.33182028646298,3.290744037781375,2.866285663445587,2.6581322294795298,1.8225242944301054,2.996958546192369,2.242175495024878
PP_0290,,,,,0.20952035968121818,1.3730375227654863,,
PP_0293,1.0081807982020012,2.455485424283508,1.0424326905087318,2.425147970995185,0.8437609686131212,2.637973017149901,,
PP_0296,1.0927314902298908,4.490354715907679,0.8091641226269523,2.1439876471577115,0.8521692136895966,4.059544573504884,1.2133687182935344,1.4531742620628756
PP_0333,,,,,,,-3.0917333738719233,2.2279145646682985
PP_0336,0.9861641240068885,1.5885454522237274,,,,,,
PP_0338,,,,,-0.7929777541556221,3.568887479838029,,
PP_0340,,,,,0.38749820442750305,1.3275855911025953,,
PP_0344,,,,,0.733776275004898,2.198069574767752,,
PP_0354,,,,,,,1.5373631630098104,1.6486407479686152
PP_0359,,,1.8996741370763441,2.64445170265374,,,,
PP_0368,,,,,-6.850786963664098,6.830544088209195,-6.685921219631093,6.827387061859745
PP_0370,0.42160128080741804,3.4757817086982246,,,0.5040358483634099,2.0771233187270837,,
PP_0375,-2.506046769287337,2.7949544466129868,,,-1.3528935240382076,3.326512650778418,-0.9698496872545372,3.6660294525627353
PP_0376,-3.227793547119019,3.342067467653177,,,-6.6263340844435765,6.6195681176939685,-6.461469867634068,6.615907958141227
PP_0377,-6.086124898177561,3.025029030041487,-4.63201731417997,2.942760070002454,,,-6.174003546567443,3.0278475164700622
PP_0378,-1.6446083436948529,8.405308907836165,-0.8733701383046474,3.9655966625143155,-1.9050623509837976,7.19362771752091,-1.1087861484704609,2.9850932044054974
PP_0379,-3.520686043944715,6.27576024357923,,,-3.131126763836646,4.922594771890203,-3.4378521271091267,6.695507652931542
PP_0382,,,1.087624524089511,1.464252878007826,,,,
PP_0383,,,,,-0.4987973689048995,1.5084978343136,,
PP_0386,1.5686399951904,5.422380544880228,,,,,,
PP_0387,,,,,0.5861337875411518,4.240606361575515,,
PP_0389,-0.7393889372127779,2.1062835602747882,-0.89300006892792,1.4843150577354989,-0.31871293450090826,4.057945148034908,-0.5576467047591162,3.127092140942088
PP_0397,0.31332075088094996,1.5181189038554095,0.46336975189495744,2.251026941491068,,,,
PP_0400,1.0553647905451287,1.4130923180398247,0.8107335164567021,3.3389859164182525,0.5328467909623774,2.779757523298303,,
PP_0401,0.9115823434526585,1.7155590734785036,,,,,,
PP_0402,,,,,1.1587523982184103,2.2451335638709846,,
PP_0403,,,,,-1.7823204475662051,3.079989486682622,,
PP_0412,1.1530239515359697,2.274397011115251,1.0296075431105867,1.5841673394754192,,,0.8479130885374421,1.9155849735504948
PP_0415,0.6560122923598727,2.0897536556905223,,,1.6722136348161667,1.334044932968137,,
PP_0422,,,,,0.517542209714663,1.3560949750984146,0.5299779443780749,1.511780948713438
PP_0428,1.4206821101529723,2.8345920506014872,,,,,,
PP_0432,,,,,0.48059913684407785,1.3597510114710345,,
PP_0434,,,,,1.455412634891846,2.4735385213307977,0.4897666749362584,1.5744763081861195
PP_0436,,,-0.4763836875317476,2.7480242382864177,,,,
PP_0443,-1.0237108334265712,9.158906497329014,-0.6138404293429559,2.3343931597695344,,,-0.9091651718045632,9.238002587978732
PP_0444,-0.7988046043980882,2.163354293965127,-0.6975533360170237,2.0404927556382675,-0.6165234541378666,6.231242677542296,-0.5446695027470322,1.687429160028211
PP_0445,,,,,-0.3696058520313205,6.876094629659589,,
PP_0446,-1.255056085047499,3.5520563814155284,-0.8306095049075453,2.43282480489332,-0.5978167754251463,2.194255509143329,-0.9811261132960883,3.7489285165905875
PP_0447,,,,,0.4233644024870026,2.5802731530533927,,
PP_0448,,,,,0.42141434938589717,2.2705143817744706,,
PP_0449,-0.6747267947854408,12.403944832555661,-0.586918241598279,3.4509963555073577,-0.4977125392947104,10.594304286977408,-0.6165672038046883,12.045175510723352
PP_0450,-0.5604309920760585,6.263610327442796,-0.5583977224372179,5.252134885731776,-0.3871877040403869,4.797464001122321,-0.47505646755626446,5.049399225530363
PP_0451,,,,,,,-0.24444401131639742,1.5639166424830242
PP_0452,,,,,-0.12326017546935593,2.958933766149793,,
PP_0453,-0.5701301055814862,1.8601478456859042,-0.6156943851936624,2.289853161168425,-0.562902221079144,9.097833546021091,-0.5374317559564474,1.7167020345410362
PP_0454,-0.8222048917882915,2.4350364502895867,-0.8229592527741262,2.0475431037879774,-0.514022244020933,7.862774338351357,-0.6312895696595804,2.511380486579161
PP_0455,-0.8083488616212535,4.207480354354145,-0.7473984553736437,6.048196962384997,,,-0.48917641892561897,6.620121776040536
PP_0456,-0.6942033100762663,8.14307704597832,-0.5951898542022461,5.041784215918948,-0.9398708125130634,9.054302633885651,-0.515388658657306,7.106243009435708
PP_0457,-0.5022740280789597,4.9164276462368415,-0.5488078909083015,5.538878562096486,-0.35165232883931496,3.90531336624404,-0.5038564346861568,2.4426637578090413
PP_0459,-0.8352686254141625,3.115217293814917,-1.0633321998171563,1.6704874456711256,-0.6282188126156677,6.190886070084534,-0.5251391245176967,3.6979634506568546
PP_0460,-0.6200633727607031,1.9160199838973324,-0.6595948987658482,4.996359119595139,-0.4374152953915329,3.586762207088478,-0.6397565433721334,3.388790542646293
PP_0461,-0.5281760326951492,3.8282595537136763,-0.5198609075929684,3.150290782622145,,,-0.4018957750202253,2.833264279141915
PP_0462,-1.2189253324715903,2.934361689787288,-0.8023810910864941,4.704871560386792,-0.5802068987551819,3.71759381110493,-0.8907643202400085,4.691270312943199
