strain,value
PP_0528_PP_0815_PP_4191,374.7672
PP_0814_PP_4862,373.8129
PP_0528_PP_0813,373.6773
PP_0226_PP_0437_PP_0751,373.3676
PP_0528_PP_1317,373.2845
PP_0813_PP_0814,373.2724
PP_0226_PP_0437_PP_0751,372.9031
PP_0812_PP_0813_PP_4189,372.8055
PP_0528_PP_0751_PP_4191,372.2955
PP_0528_PP_0814_PP_4191,372.1794
PP_0751_PP_4192,372.1361
PP_0751_PP_0814_PP_4192,372.0667
PP_0368_PP_0437_PP_0812,371.877
PP_0368_PP_0751_PP_4189,371.7357
PP_0813_PP_4189,371.1687
PP_0813_PP_1769,370.2687
Control,177.337
PP_0813_PP_0815_PP_1769,369.4348
PP_0528_PP_2136,369.4184
PP_0368_PP_0812_PP_2136,369.3804
PP_0528_PP_4192,368.1026
PP_0368_PP_0812_PP_1506,367.8311
PP_0814_PP_4862,367.7718
Control,177.1856
PP_0437_PP_0812,367.4261
PP_0812_PP_1769,367.3215
PP_0437_PP_0751_PP_4191,367.1772
PP_0528_PP_0751_PP_0815_PP_1317,367.1486
PP_0528_PP_0815_PP_1317,367.1065
PP_0751_PP_0814_PP_2136,366.9885
PP_0437_PP_0815,366.2382
PP_0751_PP_0814_PP_2136,365.77
PP_0528_PP_4192,365.5649
PP_0812_PP_1506,365.2459
PP_0812_PP_1769,364.8823
PP_0368_PP_0813,364.5877
PP_0528_PP_0812_PP_4191,364.5482
PP_0813_PP_0814,364.2763
PP_0528_PP_0814,363.1836
PP_0813_PP_0814,363.0782
PP_0528_PP_4192,362.9127
PP_0813_PP_1769,362.5414
PP_0437_PP_0751_PP_4191,361.8889
PP_0813_PP_0815_PP_1317,361.8555
PP_0815_PP_1317,361.58427
PP_0368_PP_0813,361.574
PP_0368_PP_0814,361.543
PP_0368_PP_0812_PP_2136,361.4609
PP_0528_PP_0813_PP_4191,361.4189
PP_0815_PP_1506_PP_4189,360.6876
Control,176.13507
PP_0528_PP_0813,359.6431
PP_0368_PP_0812_PP_4189,359.4759
PP_0368_PP_4189,359.1197
PP_0528_PP_5288,358.985
PP_0368_PP_0751_PP_0814,358.7351
Control,169.4058
PP_0814_PP_0815_PP_1317,358.6444
PP_0528_PP_0814,358.1915
PP_0437_PP_0815,358.0865
PP_0368_PP_0528_PP_0812,358.0415
PP_0812_PP_2136,357.9739
PP_0368_PP_0812,357.8817
PP_1506_PP_4189,357.1915
PP_0528_PP_0814,357.1872
PP_0751_PP_0814_PP_4191,356.5998
PP_0368_PP_0812_PP_2136,356.4569
PP_0528_PP_0751_PP_4191,356.2941
PP_0437_PP_0812,355.3817
PP_0814_PP_4862,354.5741
PP_0751_PP_4192,354.569
PP_0812_PP_0813_PP_1317,354.4863
PP_0437_PP_0815,354.4465
PP_0815,354.4301
Control,168.0272
PP_0814_PP_2136,353.912
PP_0368_PP_0814,353.7636
PP_0528_PP_0751_PP_0815_PP_1317,353.3719
PP_0437_PP_4189,353.2988
PP_0528_PP_0751_PP_0815_PP_1317,353.2063
PP_0751_PP_0814_PP_4192,352.689
PP_0368_PP_0812,352.0482
PP_0812_PP_0813_PP_1317,352.0188
PP_0815_PP_1317_PP_4189,352.0165
PP_0751_PP_0814_PP_4191,351.5461
PP_4120_PP_4189,351.0384
PP_0528_PP_1769,350.8494
PP_0814_PP_0815_PP_4120,350.3163
PP_0368_PP_0812_PP_4189,350.3038
PP_0814_PP_1506,349.3755
PP_0814_PP_4862,349.3168
Control,165.55333
PP_0751_PP_0814_PP_2136,349.0003
PP_0751_PP_0813_PP_4189,348.2106
PP_0368_PP_4189,347.1341
PP_0368_PP_0528,347.1289
PP_0528_PP_0812_PP_4191,346.6012
PP_0812_PP_0815_PP_1317,346.5983
PP_0751_PP_0812_PP_0813,346.5902
PP_1506_PP_4189,346.3399
PP_0368_PP_0528_PP_4191,345.8835
Control,165.5256
PP_0528_PP_0814_PP_4191,345.3837
PP_0812_PP_0815,345.2861
PP_0814_PP_1317,345.2046
PP_0528_PP_0814_PP_4191,344.9357
PP_0751_PP_0813,344.6964
PP_0368_PP_0528,344.4061
PP_0528_PP_1769,343.8137
PP_0528_PP_1769_PP_4191,343.7733
PP_0528_PP_0812_PP_4191,343.7711
PP_0528_PP_0813_PP_4191,343.6899
PP_0368_PP_0812_PP_4189,343.4739
PP_0751_PP_0813,342.938
PP_0528_PP_1769_PP_4191,342.0769
PP_0368_PP_4189,341.7156
PP_0528_PP_0812_PP_4191,341.3216
PP_0528_PP_0812_PP_4191,340.7315
PP_0528_PP_0812_PP_4191,340.6295
PP_1769_PP_4189,340.5714
PP_0528_PP_1317,340.0984
PP_0812_PP_1769,340.0789
PP_0528_PP_0815_PP_1317_PP_1769,339.8662
PP_0751_PP_0814_PP_4191,339.7159
PP_0528_PP_1769_PP_4191,339.5259
PP_0368_PP_0813,339.0761
PP_0368_PP_0528_PP_4191,338.7219
PP_0368_PP_0528_PP_4191,338.3917
PP_0368_PP_4189,338.1905
Control,162.31847
PP_0814_PP_0815_PP_1317,336.8303
PP_0751_PP_0812_PP_0813,336.5257
PP_0814_PP_5288,336.5052
PP_0813_PP_1769_PP_4189,335.9553
PP_0751_PP_0813_PP_4189,335.5616
PP_0368_PP_4191,335.4237
PP_0368_PP_0751,335.3986
PP_0368_PP_0528_PP_4191,334.5574
PP_0812_PP_0815,334.5457
PP_4120_PP_4189,334.5391
PP_0815,334.4923
