Protein.Group,PP_0812_log2_change,PP_0812_log10_p_value,PP_0813_log2_change,PP_0813_log10_p_value,PP_0814_log2_change,PP_0814_log10_p_value,PP_0815_log2_change,PP_0815_log10_p_value
PP_1806,,,,,-3.877165564155183,7.63428122468255,-2.1681684220848294,2.627874340347007
PP_2257,,,,,-6.193562920210075,11.094062061523486,,
PP_2330,,,,,-2.9923877287158316,3.9819831877163425,,
PP_2361,,,,,-2.8542638449318303,3.4909288285367883,,
PP_2368,,,,,3.7475959061988813,2.371207391264225,,
PP_2381,,,,,3.8973022668509802,4.757311811954345,,
PP_2656,,,,,-3.2855595614098094,6.278896542749573,,
PP_2664,,,,,2.5660041777961164,3.7469706481631735,,
PP_2672,,,,,4.775501273120133,2.721542660190605,,
PP_2677,,,,,3.8256666091190565,3.71068271208305,,
PP_3091,,,,,-3.5014269755862877,4.4028358002181145,,
PP_3092,,,,,-2.489921132333802,4.549009327203854,,
PP_3122,,,,,-2.521211694088749,2.1232550696753703,-3.1029202695866385,2.432067450479391
PP_3126,,,,,4.374062041064392,2.296907939327571,4.383421211197142,2.264898231444583
PP_3134,,,,,-3.546219060703143,2.831419072850059,,
PP_3249,,,,,2.8455620036383893,4.421291358887945,,
PP_3379,,,,,-2.5398459728480423,11.593855183390568,,
PP_3557,,,,,-2.579878751141292,3.5620940241960124,,
PP_3644,,,,,4.365143773363734,4.907035493017489,,
PP_4151,,,,,2.2532799603784914,13.09380523487847,-3.9634113293753965,4.877817763293752
PP_4644,,,,,3.4389285977126742,8.79870347072155,,
PP_4772,,,,,-2.4710974271572668,2.4103098929469384,,
PP_4788,,,,,-2.200386865869936,2.9112564720338123,,
PP_4844,,,,,-3.463283113944691,2.6648038342834237,,
PP_5008,,,,,2.6264941081577913,10.32638792213392,,
PP_5306,,,,,-3.079396579473555,5.312436407677464,-4.848414858505935,5.879572295983665
PP_5350,,,,,-4.756482682293415,9.589735630471857,,
SPy_1046,,,,,-7.305054472632062,13.879774500579737,,
PP_0343,,,,,,,-3.8324060123376755,3.9668620502690217
PP_0377,,,,,,,-3.876520296201386,3.161862897649013
PP_0458,,,,,,,-2.432890419025115,2.4356361524989274
PP_0561,,,,,,,-2.417965707232591,2.114458341662881
PP_0596,,,,,,,-2.1123550722161384,2.740275747273414
PP_0695,,,,,,,-4.075254717754738,4.515254314573032
PP_0869,,,,,,,-2.4549999467279204,2.5630202454794886
PP_1363,,,,,,,-3.4950205208423415,2.430679166450293
PP_1418,,,,,,,-4.159379003084957,6.1801324693559
PP_1659,,,,,,,2.550845964230391,3.050449678114211
PP_1782,,,,,,,-5.977711287659161,4.648761895577401
PP_2008,,,,,,,-4.6442913240103225,2.8864965042096324
PP_2258,,,,,,,-4.000266549343866,3.344805089720242
PP_2387,,,,,,,-3.471217922253408,2.7889238410685517
PP_2454,,,,,,,-3.1673967901522238,3.6997788205797506
PP_2486,,,,,,,-3.068129100972032,3.3496534263762654
PP_2668,,,,,,,-2.416999727054653,2.184440053867592
PP_2876,,,,,,,2.243228922397641,2.2614954010369543
PP_2950,,,,,,,-4.37268133718504,3.21132660897415
PP_3155,,,,,,,-5.183406260748516,2.0214478789419883
PP_3170,,,,,,,-3.5693186155168926,3.498521895482354
PP_3691,,,,,,,-2.7464812514948056,2.7041800738350834
PP_3755,,,,,,,-2.1674202315257896,4.947094571869348
PP_3806,,,,,,,-3.3510052434348685,3.4379645336853275
PP_3998,,,,,,,-4.265569528822628,2.170114824900029
PP_4377,,,,,,,-2.878765360087772,4.716840364684113
PP_4388,,,,,,,-2.2606444648519624,2.00757823523163
PP_4503,,,,,,,-5.344639061186462,2.2685010269676718
PP_4504,,,,,,,-3.984109191732647,2.068592952814598
PP_4543,,,,,,,-4.53777802709149,2.2044567929003653
PP_4775,,,,,,,-4.395427070951646,2.4477025734261204
PP_4785,,,,,,,-4.691448245172267,8.337248210258343
PP_5012,,,,,,,-3.2743960455193304,3.090728143711311
PP_5045,,,,,,,-2.345444058724466,6.591921923525522
PP_5203,,,,,,,-4.01678407462761,2.8658649692161764
PP_5269,,,,,,,-4.580364780343754,3.747916152470953
PP_5274,,,,,,,-5.14884838114438,3.170140465477633
PP_5310,,,,,,,-3.3647437117647043,5.003209252744521
