Line Name,Measurement Type,Time,Value,Units
PP_4116-R1,Total Biomass Input,13.19916667,5.88,n/a
PP_4116-R1,Total Biomass Input,13.36583333,5.9,n/a
PP_4116-R1,Total Biomass Input,13.5325,6,n/a
PP_4116-R1,Total Biomass Input,13.69916667,6.01,n/a
PP_4116-R1,Total Biomass Input,13.86583333,6.17,n/a
PP_4116-R1,Total Biomass Input,14.0325,6.11,n/a
PP_4116-R1,Total Biomass Input,14.19916667,6.32,n/a
PP_4116-R1,Total Biomass Input,14.36583333,6.33,n/a
PP_4116-R1,Total Biomass Input,14.5325,6.44,n/a
PP_4116-R1,Total Biomass Input,14.69916667,6.56,n/a
PP_4116-R1,Total Biomass Input,14.86583333,6.66,n/a
PP_4116-R1,Total Biomass Input,15.0325,6.76,n/a
PP_4116-R1,Total Biomass Input,15.19916667,6.86,n/a
PP_4116-R1,Total Biomass Input,15.36583333,6.9,n/a
PP_4116-R1,Total Biomass Input,15.5325,6.93,n/a
PP_4116-R1,Total Biomass Input,15.69916667,7.21,n/a
PP_4116-R1,Total Biomass Input,15.86583333,7.18,n/a
PP_4116-R1,Total Biomass Input,16.0325,7.31,n/a
PP_4116-R1,Total Biomass Input,16.19916667,7.59,n/a
PP_4116-R1,Total Biomass Input,16.36583333,7.56,n/a
PP_4116-R1,Total Biomass Input,16.5325,7.66,n/a
PP_4116-R1,Total Biomass Input,16.69916667,7.68,n/a
PP_4116-R1,Total Biomass Input,16.86583333,7.69,n/a
PP_4116-R1,Total Biomass Input,17.0325,7.89,n/a
PP_4116-R1,Total Biomass Input,17.19916667,7.86,n/a
PP_4116-R1,Total Biomass Input,17.36583333,7.97,n/a
PP_4116-R1,Total Biomass Input,17.5325,7.94,n/a
PP_4116-R1,Total Biomass Input,17.69916667,8.18,n/a
PP_4116-R1,Total Biomass Input,17.86583333,8.12,n/a
PP_4116-R1,Total Biomass Input,18.0325,7.99,n/a
PP_4116-R1,Total Biomass Input,18.19916667,8.07,n/a
PP_4116-R1,Total Biomass Input,18.36583333,8.09,n/a
PP_4116-R1,Total Biomass Input,18.5325,8.08,n/a
PP_4116-R1,Total Biomass Input,18.69916667,8.18,n/a
PP_4116-R1,Total Biomass Input,18.86583333,8.2,n/a
PP_4116-R1,Total Biomass Input,19.0325,8.34,n/a
PP_4116-R1,Total Biomass Input,19.19916667,8.33,n/a
PP_4116-R1,Total Biomass Input,19.36583333,8.28,n/a
PP_4116-R1,Total Biomass Input,19.5325,8.26,n/a
PP_4116-R1,Total Biomass Input,19.69916667,8.2,n/a
PP_4116-R1,Total Biomass Input,19.86583333,8.23,n/a
PP_4116-R1,Total Biomass Input,20.0325,8.31,n/a
PP_4116-R1,Total Biomass Input,20.19916667,8.3,n/a
PP_4116-R1,Total Biomass Input,20.36583333,8.35,n/a
PP_4116-R1,Total Biomass Input,20.5325,8.25,n/a
PP_4116-R1,Total Biomass Input,20.69916667,8.44,n/a
PP_4116-R1,Total Biomass Input,20.86583333,8.36,n/a
PP_4116-R1,Total Biomass Input,21.0325,8.4,n/a
PP_4116-R1,Total Biomass Input,21.19916667,8.5,n/a
PP_4116-R1,Total Biomass Input,21.36583333,8.52,n/a
PP_4116-R1,Total Biomass Input,21.5325,8.52,n/a
PP_4116-R1,Total Biomass Input,21.69916667,8.56,n/a
PP_4116-R1,Total Biomass Input,21.86583333,8.36,n/a
PP_4116-R1,Total Biomass Input,22.0325,8.59,n/a
PP_4116-R1,Total Biomass Input,22.19916667,8.55,n/a
PP_4116-R1,Total Biomass Input,22.36583333,8.45,n/a
PP_4116-R1,Total Biomass Input,22.5325,8.5,n/a
PP_4116-R1,Total Biomass Input,22.69916667,8.74,n/a
PP_4116-R1,Total Biomass Input,22.86583333,8.64,n/a
PP_4116-R1,Total Biomass Input,23.0325,8.53,n/a
PP_4116-R1,Total Biomass Input,23.19916667,8.63,n/a
PP_4116-R1,Total Biomass Input,23.36583333,8.67,n/a
PP_4116-R1,Total Biomass Input,23.5325,8.6,n/a
PP_4116-R1,Total Biomass Input,23.69916667,8.69,n/a
PP_4116-R1,Total Biomass Input,23.86583333,8.76,n/a
PP_4116-R1,Total Biomass Input,24.0325,8.56,n/a
PP_4116-R1,Total Biomass Input,24.19916667,8.66,n/a
PP_4116-R1,Total Biomass Input,24.36583333,8.8,n/a
PP_4116-R1,Total Biomass Input,24.5325,8.6,n/a
PP_4116-R1,Total Biomass Input,24.69916667,8.7,n/a
PP_4116-R1,Total Biomass Input,24.86583333,8.77,n/a
PP_4116-R1,Total Biomass Input,25.0325,8.91,n/a
PP_4116-R1,Total Biomass Input,25.19916667,8.7,n/a
PP_4116-R1,Total Biomass Input,25.36583333,8.8,n/a
PP_4116-R1,Total Biomass Input,25.5325,8.78,n/a
PP_4116-R1,Total Biomass Input,25.69916667,8.85,n/a
PP_4116-R1,Total Biomass Input,25.86583333,8.86,n/a
PP_4116-R1,Total Biomass Input,26.0325,9.05,n/a
PP_4116-R1,Total Biomass Input,26.19916667,8.95,n/a
PP_4116-R1,Total Biomass Input,26.36583333,9.04,n/a
PP_4116-R1,Total Biomass Input,26.5325,8.88,n/a
PP_4116-R1,Total Biomass Input,26.69916667,8.85,n/a
PP_4116-R1,Total Biomass Input,26.86583333,8.99,n/a
PP_4116-R1,Total Biomass Input,27.0325,8.89,n/a
PP_4116-R1,Total Biomass Input,27.19916667,8.91,n/a
PP_4116-R1,Total Biomass Input,27.36583333,8.99,n/a
PP_4116-R1,Total Biomass Input,27.5325,8.91,n/a
PP_4116-R1,Total Biomass Input,27.69916667,8.89,n/a
PP_4116-R1,Total Biomass Input,27.86583333,9.05,n/a
PP_4116-R1,Total Biomass Input,28.0325,8.96,n/a
PP_4116-R1,Total Biomass Input,28.19916667,8.99,n/a
PP_4116-R1,Total Biomass Input,28.36583333,9.01,n/a
PP_4116-R1,Total Biomass Input,28.5325,8.96,n/a
PP_4116-R1,Total Biomass Input,28.69916667,9.09,n/a
PP_4116-R1,Total Biomass Input,28.86583333,9.1,n/a
PP_4116-R1,Total Biomass Input,29.0325,9.14,n/a
PP_4116-R1,Total Biomass Input,29.19916667,9.23,n/a
PP_4116-R1,Total Biomass Input,29.36583333,9.16,n/a
