Protein.Group,_30C_Culture_Tubes_abundance,Biolector_abundance,log2_change,p_value,log10_p_value
PP_0403,0.04850037557575758,0.0812145742962963,0.7437427290831674,6.07085501576706e-09,8.216750138829275
PP_0405,0.030804209606060604,0.0270064995,-0.18982086430450962,0.053343496999211974,1.27291851699862
PP_0412,0.005056718696969697,0.007863477814814815,0.6369659964791037,0.0462072010952015,1.3352903371667155
PP_0415,0.06011453687878788,0.045479082407407403,-0.4025107586971848,9.737859225469352e-05,4.011536508085849
PP_0417,0.05325890003030303,0.06420188012962963,0.2695929142802556,6.281830226499058e-05,4.2019138050739295
PP_0421,0.046361023030303025,0.03053378372222222,-0.6025060238288052,2.3007326890348365e-06,5.638133836968438
PP_0422,0.06038898330303031,0.041418183185185184,-0.5440211133446132,9.583676882515454e-08,7.0184678371194265
PP_0427,0.007356892575757576,,,,
PP_0428,0.013889361515151515,0.014261243351851851,0.03811948605242824,0.7541187249280039,0.12256027545373224
PP_0432,0.056185827606060605,0.0784459052037037,0.4814918730847702,0.0001047996230021522,3.9796402796459893
PP_0434,0.01136912681818182,0.010725479037037036,-0.08407937041312603,0.5792352282833512,0.23714503281952265
