Line Name,cycle,is_control,number_of_grna,isoprenol,to_keep_improved,line_name_norep,global_median_isoprenol,global_max_isoprenol,color
PP_0368_PP_0813_PP_0815_PP_1506-R2,6,False,4,208.0951,False,PP_0368_PP_0813_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0815_PP_4191-R2,6,False,3,206.4391,False,PP_0751_PP_0815_PP_4191,509.1121,818.6499,normal
PP_0815_PP_1506_PP_1769-R2,6,False,3,206.4389,False,PP_0815_PP_1506_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1769_PP_4189-R2,6,False,3,205.6292,False,PP_0815_PP_1769_PP_4189,509.1121,818.6499,normal
PP_0368_PP_0814_PP_0815_PP_1506-R2,6,False,4,205.4691,False,PP_0368_PP_0814_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0815_PP_4191-R3,6,False,3,205.3029,False,PP_0751_PP_0815_PP_4191,509.1121,818.6499,normal
PP_0815_PP_1506_PP_4191-R3,6,False,3,204.5764,False,PP_0815_PP_1506_PP_4191,509.1121,818.6499,normal
PP_0815_PP_1506_PP_4191-R1,6,False,3,204.491,False,PP_0815_PP_1506_PP_4191,509.1121,818.6499,normal
PP_0751_PP_0814_PP_0815_PP_1769-R3,6,False,4,204.2853,False,PP_0751_PP_0814_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1769_PP_4189-R3,6,False,3,203.4286,False,PP_0815_PP_1769_PP_4189,509.1121,818.6499,normal
PP_0751_PP_0812_PP_0815_PP_1769-R2,6,False,4,203.2051,False,PP_0751_PP_0812_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1506_PP_1769-R3,6,False,3,201.6886,False,PP_0815_PP_1506_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0815_PP_1769-R2,6,False,4,199.2013,False,PP_0368_PP_0751_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1506_PP_4191-R2,6,False,3,198.8819,False,PP_0815_PP_1506_PP_4191,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0815_PP_1769-R1,6,False,4,197.0523,False,PP_0368_PP_0751_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0813_PP_1506-R2,6,False,2,196.1274,False,PP_0813_PP_1506,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0815_PP_1769-R3,6,False,4,195.5156,False,PP_0368_PP_0751_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0813_PP_1506-R3,6,False,2,193.3266,False,PP_0813_PP_1506,509.1121,818.6499,normal
PP_0815_PP_1769-R2,6,False,2,192.3566,False,PP_0815_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1506-R2,6,False,2,191.6908,False,PP_0815_PP_1506,509.1121,818.6499,normal
PP_0815_PP_1506_PP_1769-R1,6,False,3,191.5032,False,PP_0815_PP_1506_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1769-R3,6,False,2,190.8338,False,PP_0815_PP_1769,509.1121,818.6499,normal
PP_0368_PP_1506-R1,6,False,2,189.9883,False,PP_0368_PP_1506,509.1121,818.6499,normal
PP_0528_PP_0751_PP_0815_PP_1769-R2,6,False,4,189.3506,False,PP_0528_PP_0751_PP_0815_PP_1769,509.1121,818.6499,normal
