orig,has_6letter_substring,extracted,locus,primary_name,organism,is_putida
sp|Q88C04|Q88C04_PSEPK Copb,True,Q88C04,PP_5379,copB-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C05|Q88C05_PSEPK Pp_5378,True,Q88C05,PP_5378,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C17|Q88C17_PSEPK Lpd3,True,Q88C17,PP_5366,lpd,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C18|Q88C18_PSEPK Pp_5365,True,Q88C18,PP_5365,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C20|Q88C20_PSEPK Pp_5363,True,Q88C20,PP_5363,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C26|PDXY_PSEPK Pdxy,True,Q88C26,PP_5357,pdxY,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C28|Q88C28_PSEPK Pp_5355,True,Q88C28,PP_5355,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C29|Q88C29_PSEPK Pp_5354,True,Q88C29,PP_5354,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C30|Q88C30_PSEPK Pp_5353,True,Q88C30,PP_5353,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C31|Q88C31_PSEPK Uvrd,True,Q88C31,PP_5352,uvrD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C32|Q88C32_PSEPK Zwf-3,True,Q88C32,PP_5351,zwf,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C33|Q88C33_PSEPK Pp_5350,True,Q88C33,PP_5350,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C36|Q88C36_PSEPK Accc-2,True,Q88C36,PP_5347,pycA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C37|Q88C37_PSEPK Oada,True,Q88C37,PP_5346,pycB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C38|Q88C38_PSEPK Pp_5345,True,Q88C38,PP_5345,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C39|Q88C39_PSEPK Pp_5344,True,Q88C39,PP_5344,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C42|Q88C42_PSEPK Pp_5341,True,Q88C42,PP_5341,potF-IV,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C43|Q88C43_PSEPK Pp_5340,True,Q88C43,PP_5340,aphA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
