original,extracted,locus,primary_name,organism,is_putida
sp|Q88Q07|PROB_PSEPK Prob,Q88Q07,PP_0691,proB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q08|OBG_PSEPK Obg,Q88Q08,PP_0690,obg,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q09|RL27_PSEPK Rpma,Q88Q09,PP_0689,rpmA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q10|RL21_PSEPK Rplu,Q88Q10,PP_0688,rplU,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q11|Q88Q11_PSEPK Ispb,Q88Q11,PP_0687,ispB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q12|Q88Q12_PSEPK Phna,Q88Q12,PP_0686,yjdM,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q14|Q88Q14_PSEPK Fklb-1,Q88Q14,PP_0684,fklB-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q18|Q88Q18_PSEPK Pp_0680,Q88Q18,PP_0680,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q19|Q88Q19_PSEPK Pp_0679,Q88Q19,PP_0679,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q23|Q88Q23_PSEPK Gdha,Q88Q23,PP_0675,gdhA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q24|Q88Q24_PSEPK Pp_0674,Q88Q24,PP_0674,ettA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q26|Q88Q26_PSEPK Pp_0672,Q88Q26,PP_0672,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q27|GLYA2_PSEPK Glya2,Q88Q27,PP_0671,glyA2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q31,Q88Q31,PP_0667,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q33|Q88Q33_PSEPK PP_0665,Q88Q33,PP_0665,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q34|Q88Q34_PSEPK Pp_0664,Q88Q34,PP_0664,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q40|Q88Q40_PSEPK Pp_0658,Q88Q40,PP_0658,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q41|Q88Q41_PSEPK Pp_0657,Q88Q41,PP_0657,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q44|MDH_PSEPK Mdh,Q88Q44,PP_0654,mdh,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q58|Q88Q58_PSEPK Pp_0640,Q88Q58,PP_0640,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q62|Q88Q62_PSEPK Pila,Q88Q62,PP_0634,pilA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q65|COAE_PSEPK Coae,Q88Q65,PP_0631,coaE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q70|Q88Q70_PSEPK Ndh,Q88Q70,PP_0626,ndh,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q71|CLPB_PSEPK,Q88Q71,PP_0625,clpB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q72|Q88Q72_PSEPK Pp_0624,Q88Q72,PP_0624,yfiH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q73|Q88Q73_PSEPK Bamd,Q88Q73,PP_0622,bamD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q74|Q88Q74_PSEPK Pp_0621,Q88Q74,PP_0621,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q75|Q88Q75_PSEPK Pp_0620,Q88Q75,PP_0620,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q76|Q88Q76_PSEPK Pp_0619,Q88Q76,PP_0619,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q79|Q88Q79_PSEPK Pp_0616,Q88Q79,PP_0616,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q80|Q88Q80_PSEPK Pp_0615,Q88Q80,PP_0615,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q81|Q88Q81_PSEPK Pp_0614,Q88Q81,PP_0614,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q82|Q88Q82_PSEPK Pp_0613,Q88Q82,PP_0613,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q83|Q88Q83_PSEPK Pp_0612,Q88Q83,PP_0612,thiO,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q89|ISPH_PSEPK Isph,Q88Q89,PP_0606,ispH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q90|Q88Q90_PSEPK Fkpb,Q88Q90,PP_0605,fkpB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q91|LSPA_PSEPK Lspa,Q88Q91,PP_0604,lspA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q92|SYI_PSEPK Iles,Q88Q92,PP_0603,ileS,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q93|Q88Q93_PSEPK Ribf,Q88Q93,PP_0602,ribF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q95|RS20_PSEPK Rpst,Q88Q95,PP_0600,rpsT,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q96|Q88Q96_PSEPK Pp_0599,Q88Q96,PP_0599,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q97|Q88Q97_PSEPK Mmsa-1,Q88Q97,PP_0597,mmsA-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q98|Q88Q98_PSEPK Pp_0596,Q88Q98,PP_0596,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88Q99|Q88Q99_PSEPK Pp_0595,Q88Q99,PP_0595,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QA0|Q88QA0_PSEPK Pp_0594,Q88QA0,PP_0594,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QA2|Q88QA2_PSEPK Pp_0592,Q88QA2,PP_0592,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QA3|ADE_PSEPK Pp_0591,Q88QA3,PP_0591,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QA7|Q88QA7_PSEPK Pp_0587,Q88QA7,PP_0587,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QA8|Q88QA8_PSEPK Pp_0586,Q88QA8,PP_0586,cadA-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QB0|Q88QB0_PSEPK Pp_0584,Q88QB0,PP_0584,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QB2|Q88QB2_PSEPK Pp_0582,Q88QB2,PP_0582,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QB3|Q88QB3_PSEPK Pp_0581,Q88QB3,PP_0581,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QB4|Q88QB4_PSEPK Pp_0580,Q88QB4,PP_0580,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QB6|Q88QB6_PSEPK Pp_0578,Q88QB6,PP_0578,cmoM,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QB7|Q88QB7_PSEPK Pp_0577,Q88QB7,PP_0577,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QB8|Q88QB8_PSEPK Pp_0576,Q88QB8,PP_0576,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QC0|Q88QC0_PSEPK Pp_0574,Q88QC0,PP_0574,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QC4|Q88QC4_PSEPK Pp_0570,Q88QC4,PP_0570,yfhM,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QC7|SPEA_PSEPK Spea,Q88QC7,PP_0567,speA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QC8|Q88QC8_PSEPK Pp_0566,Q88QC8,PP_0566,yciH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QC9|Q88QC9_PSEPK Pp_0565,Q88QC9,PP_0565,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QD0|Q88QD0_PSEPK Pp_0564,Q88QD0,PP_0564,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QD2|Q88QD2_PSEPK Ctpl,Q88QD2,PP_0562,ctpL,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QD3|Q88QD3_PSEPK Dsbd-1,Q88QD3,PP_0561,dsbD-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QD4|AROQ1_PSEPK Aroq1,Q88QD4,PP_0560,aroQ1,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QD5|Q88QD5_PSEPK Accb,Q88QD5,PP_0559,accB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QD6|Q88QD6_PSEPK Accc-1,Q88QD6,PP_0558,accC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QE0|Q88QE0_PSEPK Acob,Q88QE0,PP_0554,acoB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QE2|Q88QE2_PSEPK Adh,Q88QE2,PP_0552,bdhA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QE3|Q88QE3_PSEPK Pp_0551,Q88QE3,PP_0551,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QE4|Q88QE4_PSEPK Pp_0550,Q88QE4,PP_0550,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QE6|Q88QE6_PSEPK Ubid,Q88QE6,PP_0548,ubiX,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QE7|Q88QE7_PSEPK Mpl,Q88QE7,PP_0547,mpl,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QE9|Q88QE9_PSEPK Pp_0545,Q88QE9,PP_0545,aldB-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QF0|Q88QF0_PSEPK Pp_0544,Q88QF0,PP_0544,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QF1|Q88QF1_PSEPK Eutb,Q88QF1,PP_0543,eutB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QF2|EUTC_PSEPK Eutc,Q88QF2,PP_0542,eutC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QF3|Q88QF3_PSEPK Pp_0541,Q88QF3,PP_0541,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QF6|IPYR_PSEPK Ppa,Q88QF6,PP_0538,ppa,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QF8|Q88QF8_PSEPK Pp_0536,Q88QF8,PP_0536,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QG2|Q88QG2_PSEPK Pp_0532,Q88QG2,PP_0532,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QG5|EX7S_PSEPK Xseb,Q88QG5,PP_0529,xseB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QG6|Q88QG6_PSEPK Ispa,Q88QG6,PP_0528,ispA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QG7|DXS_PSEPK Dxs,Q88QG7,PP_0527,dxs,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QH1|RIBA_PSEPK Riba,Q88QH1,PP_0522,ribA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QH2|Q88QH2_PSEPK Pp_0521,Q88QH2,PP_0521,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QH4|Q88QH4_PSEPK Thil,Q88QH4,PP_0519,thiL,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QH5|NUSB_PSEPK Nusb,Q88QH5,PP_0518,nusB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QH6|RISB_PSEPK Ribh,Q88QH6,PP_0517,ribH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QH7|Q88QH7_PSEPK Ribba-1,Q88QH7,PP_0516,ribAB-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QH8|Q88QH8_PSEPK Ribe-1,Q88QH8,PP_0515,ribE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QH9|Q88QH9_PSEPK Ribd,Q88QH9,PP_0514,ribD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QI0|NRDR_PSEPK Nrdr,Q88QI0,PP_0513,nrdR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QI1|Q88QI1_PSEPK Pp_0512,Q88QI1,PP_0512,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QI2|Q88QI2_PSEPK Trx-1,Q88QI2,PP_0510,trx,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QI3|Q88QI3_PSEPK Pp_0509,Q88QI3,PP_0509,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QI4|Q88QI4_PSEPK Pp_0508,Q88QI4,PP_0508,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QI8|Q88QI8_PSEPK Oprg,Q88QI8,PP_0504,oprG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QJ1|Q88QJ1_PSEPK Pp_0501,Q88QJ1,PP_0501,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QJ2|Q88QJ2_PSEPK Pp_0500,Q88QJ2,PP_0500,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QJ5|Q88QJ5_PSEPK Pp_0496,Q88QJ5,PP_0496,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QJ6|Q88QJ6_PSEPK Ansb,Q88QJ6,PP_0495,ansA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QJ7|Q88QJ7_PSEPK Selb,Q88QJ7,PP_0494,selB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QJ8|SELA_PSEPK Sela,Q88QJ8,PP_0493,selA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QJ9|FDHE_PSEPK Fdhe,Q88QJ9,PP_0492,fdhE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QK0|Q88QK0_PSEPK Pp_0491,Q88QK0,PP_0491,fdoI,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QK1|Q88QK1_PSEPK Pp_0490,Q88QK1,PP_0490,fdoH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QK5|SSB_PSEPK Ssb,Q88QK5,PP_0485,ssb,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QK6|Q88QK6_PSEPK Pp_0484,Q88QK6,PP_0484,yajR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QK7|UVRA_PSEPK Uvra,Q88QK7,PP_0483,uvrA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QK8|Q88QK8_PSEPK Pp_0482,Q88QK8,PP_0482,bfr-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QK9|Q88QK9_PSEPK Kata,Q88QK9,PP_0481,katA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QL0|RL17_PSEPK Rplq,Q88QL0,PP_0480,rplQ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QL1|RPOA_PSEPK Rpoa,Q88QL1,PP_0479,rpoA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QL2|RS4_PSEPK Rpsd,Q88QL2,PP_0478,rpsD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QL3|RS13_PSEPK Rpsm,Q88QL3,PP_0476,rpsM,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QL5|Q88QL5_PSEPK Secy,Q88QL5,PP_0474,secY,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QL6|RL15_PSEPK Rplo,Q88QL6,PP_0473,rplO,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QL7|RL30_PSEPK Rpmd,Q88QL7,PP_0472,rpmD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QL8|RS5_PSEPK Rpse,Q88QL8,PP_0471,rpsE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QL9|RL18_PSEPK Rplr,Q88QL9,PP_0470,rplR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QM0|RL6_PSEPK Rplf,Q88QM0,PP_0469,rplF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QM1|RS8_PSEPK Rpsh,Q88QM1,PP_0468,rpsH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QM2|RS14_PSEPK Rpsn,Q88QM2,PP_0467,rpsN,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QM3|RL5_PSEPK,Q88QM3,PP_0466,rplE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QM4|RL24_PSEPK Rplx,Q88QM4,PP_0465,rplX,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QM5|RL14_PSEPK Rpln,Q88QM5,PP_0464,rplN,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QM6|RS17_PSEPK Rpsq,Q88QM6,PP_0463,rpsQ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QM7|RL29_PSEPK Rpmc,Q88QM7,PP_0462,rpmC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QM8|RL16_PSEPK Rplp,Q88QM8,PP_0461,rplP,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QM9|RS3_PSEPK Rpsc,Q88QM9,PP_0460,rpsC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QN0|RL22_PSEPK Rplv,Q88QN0,PP_0459,rplV,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QN1|RS19_PSEPK Rpss,Q88QN1,PP_0458,rpsS,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QN2|RL2_PSEPK Rplb,Q88QN2,PP_0457,rplB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QN3|RL23_PSEPK Rplw,Q88QN3,PP_0456,rplW,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QN4|RL4_PSEPK,Q88QN4,PP_0455,rplD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QN5|RL3_PSEPK Rplc,Q88QN5,PP_0454,rplC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88QN6|RS10_PSEPK Rpsj,Q88QN6,PP_0453,rpsJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
