original,extracted,locus,primary_name,organism,is_putida
sp|Q88C74|Q88C74_PSEPK Pp_5309,Q88C74,PP_5309,oxyR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C75|Q88C75_PSEPK Tonb,Q88C75,PP_5308,tonB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C76|Q88C76_PSEPK Exbd,Q88C76,PP_5307,exbD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C77|Q88C77_PSEPK Exbb,Q88C77,PP_5306,exbB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C78|Q88C78_PSEPK Pp_5305,Q88C78,PP_5305,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C79|Q88C79_PSEPK Pp_5304,Q88C79,PP_5304,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C80|Q88C80_PSEPK Pp_5303,Q88C80,PP_5303,ridA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C81|Q88C81_PSEPK Spot,Q88C81,PP_5302,spoT,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C82|RPOZ_PSEPK Rpoz,Q88C82,PP_5301,rpoZ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C83|Q88C83_PSEPK Pp_5300,Q88C83,PP_5300,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C84|Q88C84_PSEPK Pp_5299,Q88C84,PP_5299,puuA-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C87|KGUA_PSEPK Gmk,Q88C87,PP_5296,gmk,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C88|Q88C88_PSEPK Pp_5295,Q88C88,PP_5295,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C89|RNPH_PSEPK Rph,Q88C89,PP_5294,rph,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C90|Q88C90_PSEPK Pp_5293,Q88C90,PP_5293,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C91|Q88C91_PSEPK Crc,Q88C91,PP_5292,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C92|PYRE_PSEPK Pyre,Q88C92,PP_5291,pyrE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C93|ALGC_PSEPK Algc,Q88C93,PP_5288,algC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C95|DUT_PSEPK Dut,Q88C95,PP_5286,dut,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
