Protein,Spearman_Correlation,Average_Abundance_Control
Mota,0.34574055413598614,
Motb,0.4054647146919429,
Pp_4334,-0.0008798985852138739,
Chew,0.16266538187342278,
Pp_4331,,
Ccme,-0.04260605363178739,
Ccmf,,
Dsbe,-0.08726836564239275,
Pp_4319,0.17556276227981787,
Pp_4316,-0.09904729759878445,
Pp_4315,0.13561665897372302,
Pp_4310,0.3591173875619649,
Pp_4306,,
Pp_4305,0.18745248768270628,
Glxr,0.07500163031873462,
Hyi,0.0942324111459975,
Gcl,0.20519567041703082,
Pp_4295,-0.16340920850190122,
Pp_4293,-0.4177160801024855,
Pp_4289,0.05454545454545456,
Pp_4287,0.03889701398079146,
Pp_4286,0.3315467819958735,
Pp_4285,0.15432519836476016,
Pp_4283,0.4510336065051734,
Gad,-0.2685320792491032,
Xdhb,0.20655333024905104,
Xdha,0.17442174287475862,
Pp_4277,-0.060928400234022045,
Smc,-0.20909090909090913,
Zipa,0.10293120424081845,
Liga,-0.041183915039024487,
Dnax,0.08105670568097671,
Pp_4268,0.07260520110853684,
Apt,0.23388791151876145,
Anr,0.2184363699443106,
Hemn,0.015810290402128575,
Pp_4261,0.39999999999999997,
Pp_4260,0.13243119676628454,
Pp_4259,0.5830761934967057,
Ccop-2,0.10423107339676096,
Ccoo-2,0.22473707080154456,
Ccon-2,0.5167222550924913,
Ccop-1,,
Ccoo-1,0.07142857142857144,
Ccon-1,-0.7999999999999999,
Pp_4249,0.2692307692307692,
Pp_4248,0.02556170286582358,
Pp_4232,,
Pp_4220,,
Pp_4218,,
Fpva,0.23279543015279794,
Pvde,,
Pp_4214,,
Pp_4213,,
Pp_4203,0.38093425166305533,
Pp_4202,0.022463314639663147,
Pp_4201,0.04260283810970597,
Pp_4200,0.6167011383423581,
Pp_4199,0.11461250169528091,
Pp_4198,0.3953470552489486,
Pp_4197,0.19047619047619052,
Glta,-0.38305907932701594,
Sdhc,0.03332495553829016,
Sdhd,-0.37391106993905715,
Sdha,-0.46206595110458465,
Sdhb,-0.06668034232739374,
Kgda,0.01704113524388239,
Kgdb,-0.00464758233924065,
Lpdg,-0.3652268249446125,
Succ,-0.6978604701568742,
Sucd,-0.7072500821989166,
Htpg,0.15166455055528846,
Pp_4178,0.3049701405936093,
Pp_4177,,
Fabb,-0.4182290282476214,
Faba,-0.31495828244710017,
Gpsa,0.11161996234372347,
Sixa,0.3786370766832653,
Pp_4163,0.5709458461016599,
Kdpd,0.11070139070404796,
Kdpe,,
Pp_4151,-0.31680560984074746,
Pp_4150,-0.3342082120743949,
Pp_4148,,
Pp_4147,0.14346234370842503,
Glob,0.22690432143630634,
Pp_4138,-0.20294442881350844,
Nuol,,
Nuoi,0.10520522687120724,
Nuoh,0.0556476377409853,
Nuog,0.028091465854304314,
Nuof,0.23337208301428958,
Nuoe,-0.10851366491375439,
Nuoc,0.20706881512889586,
Nuob,-0.2386552679216894,
Acea,-0.2788268454960537,
Pp_4115,0.49303137841132666,
Fusb,0.25040275726333133,
Pp_4104,0.41757655281861644,
Uvrc,,
Purb,-0.07533935459959297,
Hfld,0.24308745817752134,
Mnma,-0.028470446478486185,
Pp_4013,-0.005436827489130536,
Pp_4012,0.0371806587139252,
Icd,0.24754854116379055,
Cspd,0.5266476888997236,
Clpa,-0.29199215968199094,
Aat,0.1502958741198706,
Ftsk,0.4847955181810446,
Lola,0.2547840247367973,
Pp_4002,0.08344262002727615,
Sers,0.474144732299473,
Cysg,0.4509514705757553,
Pp_3998,-0.9999999999999999,
Pp_3997,-0.06136339383410209,
Pp_3995,,
Dsre,,
Pp_3988,0.350929507113033,
Pp_3968,0.942857142857143,
Nhaa2,0.5818181818181819,
Pp_3957,0.08936281733869361,
Pp_3954,,
Pcai,0.5,
Pp_3950,0.547724076685857,
Nicb,-0.36748400341724874,
Nicr,-0.14818651258334947,
Pp_3931,,
Pp_3927,,
Pp_3926,,
Pp_3924,0.11685126389796714,
Pp_3922,0.2090632153271198,
Pp_3901,-0.24417376496598836,
Pp_3896,,
Pp_3839,0.14097666429029976,
Pp_3835,,
Pp_3834,0.39943459615499133,
Csra,0.42764919043456273,
Pp_3827,-0.01220579589085773,
Pp_3825,0.14457893412396414,
Pp_3823,,
Galu,-0.27203460930244094,
Gor,0.17483848461447152,
Pp_3806,-0.3240839324789856,
Dapf-1,,
Pp_3788,,
Pp_3787,,
Pp_3786,,
Pp_3785,-0.17393131069573456,
Pp_3784,-0.6560381485126154,
Pp_3783,-0.23190841426097938,
Pp_3781,0.9999999999999999,
Proc-1,0.1347339904643425,
Pp_3777,,
Pp_3775,0.6075209964851871,
Pp_3768,0.20608205674577565,
Gloa,0.06385954628278522,
Pp_3765,0.49009803394045914,
Pp_3761,0.31816223546625966,
Cher3,0.8857142857142858,
Pp_3758,0.22531654817313074,
Pp_3757,0.09890109890109891,
Paah,-0.13758607238255544,
Pp_3754,0.41328077354590925,
Pp_3742,0.17610995641751187,
Pp_3738,0.5225694116059386,
Pp_3722,0.04761904761904763,
Pp_3720,,
Cata,,
Pp_3707,0.420374271640356,
Pp_3706,0.16387684524829804,
Pp_3705,0.19808719841841257,
Pp_3699,0.24869735134276533,
Pp_3694,0.11818181818181818,
Pp_3693,-0.1145964472326481,
Pp_3692,,
Pp_3691,0.4647103028532349,
Pp_3680,0.6079338168295917,
Pp_3671,,
Pp_3669,0.3232417450478196,
Katg,0.46817816992653316,
Pssa-1,,
Pp_3662,0.1560350358451453,
Pp_3651,-0.11789063477542962,
Pp_3650,0.1666666666666667,
Pp_3649,0.3611767813145061,
Pp_3644,,
Pp_3638,,
Pp_3631,,
Pp_3629,-0.22458521577684998,
Pp_3627,,
Pp_3623,,
Pp_3622,0.4545454545454546,
Pp_3620,0.2649121933367171,
Pp_3613,,
Pp_3612,0.3813063341153229,
Pp_3611,0.3569607442152969,
Pp_3610,,
Pp_3603,-0.0779252105054577,
Pp_3598,,
Pp_3591,-0.07955283396017493,
Tyrb-2,-0.10689439380253496,
Tpx,-0.022461259590820234,
Pp_3585,0.3062365029200283,
Pp_3578,0.0038729852827005425,
Pp_3569,-0.2317903385472186,
Pp_3563,0.616869133617172,
Pp_3558,-0.01448146778582149,
Pp_3557,0.430151936185653,
Emra,-0.13913752081159086,
Pp_3547,0.4531940834430665,
Pp_3546,0.2549019607843137,
Pp_3530,0.28660091091984014,
Pp_3527,0.09633621990220438,
Pp_3522,,
Hyua,,
Ilve,0.3620360709497781,
Pp_3509,-0.032969510403488334,
Cobw,0.11220185965366845,
Pp_3506,-0.1954451123581306,
Pp_3497,,
Pp_3496,0.23618229893012943,
Acda,0.09273499912505939,
Pp_3491,0.13751173185679577,
Pp_3484,0.1130980742865944,
Pp_3459,,
Pp_3456,,
Pp_3455,-0.1754385964912281,
Pp_3454,,
Pp_3453,,
Ilva-1,,
Pp_3445,0.4506646314484548,
Pp_3443,0.24427743804662916,
Pp_3441,0.29692064753031716,
Pp_3437,,
Pp_3435,-0.5,
Hpd,0.10547498518439259,
Pp_3431,0.6508351765605187,
Pp_3428,0.038683863377751024,
Pp_3421,0.3214285714285715,
Pp_3420,,
Gntp,-0.10224681146329433,
Gnuk,-0.24274739352863062,
Pp_3415,-0.0837408608441714,
Pp_3406,0.250374446829201,
Pp_3404,0.3024567374629282,
Pp_3384,0.14324999823979348,
