Box,No.,Stock No.,Plasmid No.,Description,Part ID,Gene,Plasmid No.,Stock No.
,201,IY1469,pIY989,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-sfGFP,JBx_249567,,,
,202,IY1491,pIY1003,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-RFP_NT1,JBx_249569,,,
,203,IY1492,pIY1004,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4194_NT1,JBx_249571,,,
,204,IY1493,pIY1005,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1010,JBx_249573,,,
,205,IY1494,pIY1006,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-GFP_NT1,JBx_249575,,,
,206,IY1565,pIY1061,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3540,JBx_249577,,,
,207,IY1566,pIY1062,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1649,JBx_249579,,,
,208,IY1567,pIY1063,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4549,JBx_249581,,,
,209,IY1568,pIY1064,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4550,JBx_249583,,,
,210,IY1569,pIY1065,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0368,JBx_249585,,,
,211,IY1570,pIY1066,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0370,JBx_249587,,,
,212,IY1571,pIY1067,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2136,JBx_249589,,,
,213,IY1572,pIY1068,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4740_NT1,JBx_249591,,,
,214,IY1573,pIY1069,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4740_NT2,JBx_249593,,,
,215,IY1574,pIY1070,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4740_NT3,JBx_249595,,,
,216,IY1575,pIY1071,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0774,JBx_249597,,,
,217,IY1576,pIY1072,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0362,JBx_249599,,,
,218,IY1577,pIY1073,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0437,JBx_249601,,,
,219,IY1578,pIY1074,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_2589,JBx_249603,,,
,220,IY1579,pIY1075,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_3744,JBx_249605,,,
