Objects annotated to GO terms from New SmartTable with DNA-binding transcription factor activity	Matches	Accession-1	Common-Name	Gene	Names	Synonyms
G1G01-4239-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4239	LysR family transcriptional regulator	
G1G01-3804-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3804	LysR family transcriptional regulator	
G1G01-1786-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1786	LysR family transcriptional regulator	
G1G01-3907-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3907	LysR family transcriptional regulator	
G1G01-771-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-771	LysR family transcriptional regulator	
G1G01-4422-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4422	LysR family transcriptional regulator	
G1G01-2734-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2734	LysR family transcriptional regulator	
G1G01-2596-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2596	LysR family transcriptional regulator	
G1G01-5657-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-5657	LysR family transcriptional regulator	
G1G01-4828-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4828	LysR family transcriptional regulator	
G1G01-2396-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2396	LysR family transcriptional regulator	
G1G01-3728-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3728	LysR family transcriptional regulator	
G1G01-4909-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4909	LysR family transcriptional regulator	
G1G01-3390-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3390	LysR family transcriptional regulator	
G1G01-3013-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3013	LysR family transcriptional regulator	
G1G01-2177-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2177	LysR family transcriptional regulator	
G1G01-3600-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3600	LysR family transcriptional regulator	
G1G01-3362-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3362	LysR family transcriptional regulator	
G1G01-2601-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2601	LysR family transcriptional regulator	
G1G01-646-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-646	LysR family transcriptional regulator	
G1G01-1956-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1956	LysR family transcriptional regulator	
G1G01-4374-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4374	LysR family transcriptional regulator	
G1G01-2512-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2512	LysR family transcriptional regulator	
G1G01-2678-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2678	LysR family transcriptional regulator	
G1G01-4847-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4847	LysR family transcriptional regulator	
G1G01-2115-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2115	LysR family transcriptional regulator	
G1G01-5616-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-5616	LysR family transcriptional regulator	
G1G01-3870-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3870	LysR family transcriptional regulator	
G1G01-5704-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-5704	LysR family transcriptional regulator	
G1G01-3044-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3044	LysR family transcriptional regulator	
G1G01-5483-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-5483	LysR family transcriptional regulator	
G1G01-1481-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1481	LysR family transcriptional regulator	
G1G01-2335-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2335	LysR family transcriptional regulator	
G1G01-5731-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-5731	LysR family transcriptional regulator	
G1G01-4977-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4977	LysR family transcriptional regulator	
G1G01-4981-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4981	LysR family transcriptional regulator	
G1G01-1967-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1967	LysR family transcriptional regulator	
G1G01-4818-MONOMER	GO:0003700		MarR family transcriptional regulator	G1G01-4818	MarR family transcriptional regulator	
G1G01-1781-MONOMER	GO:0003700		MarR family transcriptional regulator	G1G01-1781	MarR family transcriptional regulator	
G1G01-4549-MONOMER	GO:0003700		MerR family transcriptional regulator	G1G01-4549	MerR family transcriptional regulator	
G1G01-2968-MONOMER	GO:0003700		MerR family transcriptional regulator	G1G01-2968	MerR family transcriptional regulator	
G1G01-3174-MONOMER	GO:0003700		MerR family transcriptional regulator	G1G01-3174	MerR family transcriptional regulator	
G1G01-4101-MONOMER	GO:0003700		MerR family transcriptional regulator	G1G01-4101	MerR family transcriptional regulator	
G1G01-2921-MONOMER	GO:0003700		MerR family transcriptional regulator	G1G01-2921	MerR family transcriptional regulator	
G1G01-2643-MONOMER	GO:0003700		MerR family transcriptional regulator	G1G01-2643	MerR family transcriptional regulator	
G1G01-4942-MONOMER	GO:0003700		MerR family transcriptional regulator	G1G01-4942	MerR family transcriptional regulator	
G1G01-5485-MONOMER	GO:0003700		MerR family transcriptional regulator	G1G01-5485	MerR family transcriptional regulator	
G1G01-815-MONOMER	GO:0003700		MerR family transcriptional regulator	G1G01-815	MerR family transcriptional regulator	
G1G01-5310-MONOMER	GO:0003700		methionine metabolism transcriptional regulator	G1G01-5310	methionine metabolism transcriptional regulator // SahR	SahR
G1G01-394-MONOMER	GO:0003700		molybdate transport regulator	G1G01-394	molybdate transport regulator // ModR	ModR
G1G01-3574-MONOMER	GO:0003700		nickel-responsive regulator	G1G01-3574	nickel-responsive regulator // NikR	NikR
G1G01-3417-MONOMER	GO:0003700		nodulation protein d1	G1G01-3417	nodulation protein d1	
G1G01-1964-MONOMER	GO:0003700		organic hydroperoxide resistance transcriptional regulator	G1G01-1964	organic hydroperoxide resistance transcriptional regulator // OhrR	OhrR
G1G01-5695-MONOMER	GO:0003700		ornithine utilization transcriptional regulator	G1G01-5695	ornithine utilization transcriptional regulator // OruR	OruR
G1G01-5666-MONOMER	GO:0003700		oxidative and nitrosative stress transcriptional dual regulator	G1G01-5666	oxidative and nitrosative stress transcriptional dual regulator // OxyR	OxyR
G1G01-1465-MONOMER	GO:0003700		pca regulon transcriptional regulator	G1G01-1465	pca regulon transcriptional regulator // PcaR	PcaR
G1G01-5290-MONOMER	GO:0003700		proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase	G1G01-5290	proline dehydrogenase/1-pyrroline-5-carboxylate dehydrogenase // PutA	PutA
G1G01-3180-MONOMER	GO:0003700		protein CnmA	G1G01-3180	protein CnmA	
G1G01-3775-MONOMER	GO:0003700		putative Transcriptional regulator	G1G01-3775	putative Transcriptional regulator	
G1G01-1483-MONOMER	GO:0003700		putative transcriptional regulator	G1G01-1483	putative transcriptional regulator	
G1G01-2226-MONOMER	GO:0003700		RNA polymerase ECF-1 &sigma; factor	G1G01-2226	RNA polymerase ECF-1 &sigma; factor // ECF family RNA polymerase &sigma; factor SigX	ECF family RNA polymerase &sigma; factor SigX
G1G01-4861-MONOMER	GO:0003700		RNA polymerase ECF-10 &sigma; factor	G1G01-4861	RNA polymerase ECF-10 &sigma; factor	
G1G01-3068-MONOMER	GO:0003700		RNA polymerase ECF-11 &sigma; factor	G1G01-3068	RNA polymerase ECF-11 &sigma; factor // PrtI // ECF family RNA polymerase sigma factor PrtI	PrtI // ECF family RNA polymerase sigma factor PrtI
G1G01-3189-MONOMER	GO:0003700		RNA polymerase ECF-12 &sigma; factor	G1G01-3189	RNA polymerase ECF-12 &sigma; factor	
G1G01-1067-MONOMER	GO:0003700		RNA polymerase ECF-13 &sigma; factor	G1G01-1067	RNA polymerase ECF-13 &sigma; factor	
G1G01-1081-MONOMER	GO:0003700		RNA polymerase ECF-14 &sigma; factor	G1G01-1081	RNA polymerase ECF-14 &sigma; factor // RNA polymerase sigma-24 factor // RNA polymerase &sigma;<sup>24</sup> factor	RNA polymerase sigma-24 factor // RNA polymerase &sigma;<sup>24</sup> factor
G1G01-739-MONOMER	GO:0003700		RNA polymerase ECF-15 &sigma; factor	G1G01-739	RNA polymerase ECF-15 &sigma; factor	
