Protein,PC1,PC2
Cafa,-0.013293927977959403,0.010682424341966375
Cara,0.011153912550988073,0.037688984074681145
Carb,0.013699453960431993,0.03565680062594986
Cas9,0.003730947549671503,-0.04121247403401675
Cata,0.017708835989221006,0.008549861506793226
Cbpa,-0.03337829217735291,0.026485959594371965
Ccme,0.0073881908192637395,0.007160688249685978
Ccmf,0.02545894544144826,0.019252574179895714
Ccon-1,-0.026977879061986784,0.0019100270019061353
Ccon-2,0.044152950860181034,0.016301873459692043
Ccoo-1,-0.02634381291323846,0.0045688135452724805
Ccoo-2,0.038022101707764266,0.014936922440875132
Ccop-1,-0.025998313067703303,0.004092675859773737
Ccop-2,0.03698822007076028,0.01921403575032881
Chea,-0.018096529289326303,-0.01730414907792533
Cheb1,-0.021048045098736715,-0.008973219619445045
Cheb3,-0.007442072944494926,0.04018894079829883
Cher2,-0.011419680711310541,0.02370013638223576
Cher3,-0.027863796901992213,-0.03241696466926571
Chev-1,-0.02586368287959671,-0.021046847537036898
Chev-2,-0.017851164439786047,-0.026408989567630933
Chev-3,-0.02318349311587668,-0.010061652249123683
Chew,-0.024540580508757525,0.009396214351266365
Chey,0.030438788994017717,0.0448050899468774
Chez,-0.00937112684673666,-0.027734628205966748
Cioa,-0.024436096306133297,0.023403767562250623
Clpa,-0.0026742272137542985,-0.002084557073676768
Clpb,-0.03355496389921652,-0.005122144336943025
Clpp,-0.021757849932966894,0.025339337806402636
Clpx,-0.0007806631588094262,-0.018416626217817384
Cmax,-0.031407328747317435,0.0045203033460628666
Cmk,-0.01844976713114763,-0.013167415597732424
Cmoa,0.0007347640263361947,0.00715794243137097
Cmpx,-0.02407605468692747,0.02481340171392582
Coabc,-0.00079574444526455,-0.02121001870147308
Coad,-0.0040493537254279845,0.01429428819085096
Coae,-0.029370832374528658,0.0033259311645700935
Cobh,-0.003282458622925606,-0.007147383484265635
Cobi,-0.002849746725832128,-0.02881508204733943
Cobj,0.01664689113351158,0.020243305213017346
Cobo,0.010849711202160427,0.02404059039602501
Cobw,0.0032309170908952365,-0.016519498384199666
Coda,-0.03629761801099972,0.0060763927871888375
Colr,-0.02986502195159087,0.006064002334264881
