Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_4519,,,1.711673396728876,1.7917671519444514,,,,,,,,,1.4105301098009375,2.554363160534408,,,,,,,,,,,1.9264647091141116,4.88776756049452,1.0645970027474556,9.384460754962735
PP_4554,,,1.0575130647258846,2.258202176515841,2.570593048736202,5.30834185558415,,,,,1.5340264890902542,2.668349713227055,1.440079570005296,1.5416861227672238,,,,,,,,,,,3.3298790836901064,1.6360897954284024,,
PP_4740,,,1.810691454012759,2.2548701112097027,,,,,,,,,,,,,,,,,,,,,,,,
PP_4862,,,1.1167094755247295,1.5062461726517153,,,,,,,,,,,,,,,,,,,,,,,,
PP_4967,,,1.9066924409011128,1.6304344881967037,,,,,,,,,,,,,,,,,,,,,,,,
PP_4977,,,1.122046069068318,2.382615036946455,,,,,,,,,,,,,,,,,,,,,,,,
PP_5098,,,1.3819669713981872,4.112680967833818,,,,,,,,,1.2286148415929636,2.11974175889759,,,,,,,,,,,,,,
PP_5329,,,1.086189907551225,2.025352556313736,,,,,,,,,,,,,,,,,,,,,1.5253493048595124,2.8693633676826984,,
PP_5338,,,1.3510651365821758,1.8720210264447814,,,,,,,,,1.2617387385956234,2.2024766832578373,,,,,,,,,,,,,,
PP_0258,,,,,1.2464616785946196,3.638134617421189,-1.311641083375134,1.9881491192036367,-1.3059452122205277,2.7603235950601777,,,,,,,,,,,,,,,1.3115356153850284,1.86574924825243,,
PP_0459,,,,,-1.085660223224726,8.143065311600413,,,,,,,,,,,,,,,,,,,-1.026159548290754,7.962256118229023,,
PP_0536,,,,,2.8336804244235947,3.952385281841485,,,,,,,,,,,,,,,,,,,3.275438387367634,2.909397128282945,,
PP_0687,,,,,-1.094476376936962,1.338122808644975,,,,,,,-1.3163379499657824,5.02160490485905,,,,,,,,,,,-1.291462908611817,2.6626987932771455,,
PP_0712,,,,,1.1145931561371762,7.207812713333818,,,,,,,,,,,,,,,,,,,,,-1.0566396089548067,5.512165337671063
PP_0837,,,,,-1.1764995252955432,5.0296099068132305,,,,,,,,,,,,,,,,,,,,,,
PP_0861,,,,,4.882433267712247,1.7599215077073176,,,,,,,,,,,,,,,,,,,,,,
PP_0913,,,,,2.2762045832569537,5.601469931152636,,,,,1.4446439004902258,2.922919133852427,,,,,1.1961487117798812,8.052971476416271,,,,,1.3349981405125964,2.353128083256417,1.484971161082271,1.4119968390577426,-1.6106711012262518,5.9652547022145015
PP_0944,,,,,6.136624955034621,2.3610577930058705,,,,,,,,,,,,,,,,,,,,,,
PP_1015,,,,,1.057935215183375,4.201112804403583,,,1.0112213066790299,8.936561290351776,1.2523649817082005,3.4897972647043876,,,,,,,,,,,,,,,,
PP_1184,,,,,1.0361589719175914,1.872863965163581,,,,,,,1.1543840608574099,2.6228898674741226,,,,,,,,,,,1.6194481395912168,1.7396331030130308,,
PP_1486,,,,,1.1545062837032554,3.5930419642221314,,,,,,,1.6044441845153692,2.4145649174201926,,,,,,,,,,,,,,
PP_1626,,,,,-1.5060007188845062,2.8246948183921154,,,,,,,-1.1849818612036633,2.2928957217991086,-1.092592577731043,2.105490797838324,,,,,,,,,-1.4795949312722896,2.6853255754689673,-1.1273328437077257,2.1006586385917556
PP_1659,,,,,5.92689497978004,1.9588185007739656,,,,,,,,,,,,,,,,,,,,,,
PP_1983,,,,,2.256439242919243,3.553126612750121,,,,,,,,,,,,,,,,,,,,,,
PP_2006,,,,,1.2568030450034775,1.459617390990138,,,,,,,,,,,,,,,,,,,,,,
PP_2007,,,,,5.432835133374514,2.477683889336854,,,,,,,,,,,,,,,,,,,,,,
