,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
108,PP_0813_PP_0814-R2,2,False,PP_0813_PP_0814,2,363.0782,3849946.2,1.0486353770064918,PP_0813,PP_0814,,,112011.1,3316.68,,,2820323.063333333,176130.7333333333,,,0.03971569833833659,0.018830785162990676,,,False,True,True,True,False,False,True,True,True,True,True
109,PP_0751_PP_4189-R2,2,False,PP_0751_PP_4189,2,180.3416,5561454.38,1.5148102096792169,PP_0751,PP_4189,,,4530764.5,23456083.18,,,4218397.294999999,25916447.480833337,,,1.0740487875265436,0.9050655263360106,,,False,True,False,False,False,False,False,False,True,False,False
110,PP_0751_PP_0813-R2,2,False,PP_0751_PP_0813,2,443.538,4196695.96,1.1430819085721822,PP_0751,PP_0813,,,2860948.56,705373.16,,,4218397.294999999,2820323.063333333,,,0.6782074707356365,0.2501036739976594,,,False,True,False,True,False,False,False,False,True,False,False
111,PP_1769_PP_4189-R2,2,False,PP_1769_PP_4189,2,340.5714,2397880.99,0.6531267465413801,PP_1769,PP_4189,,,1497604.6,19293468.3,,,1012275.7325,25916447.480833337,,,1.4794433491963614,0.7444488028024906,,,False,True,False,False,False,False,False,False,True,False,False
112,PP_0528_PP_1769_PP_4191-R3,3,False,PP_0528_PP_1769_PP_4191,3,482.7067,4676910.52,1.2738811327716284,PP_0528,PP_1769,PP_4191,,18260.7,1115755.6,10180199.06,,73937.88333333335,1012275.7325,12495217.144166665,,0.24697352935673703,1.1022249809786882,0.8147276627963669,,False,True,True,False,False,False,False,False,True,False,False
113,PP_0528_PP_4120_PP_4191-R3,3,False,PP_0528_PP_4120_PP_4191,3,308.5294,2065125.69,0.5624919788486762,PP_0528,PP_4120,PP_4191,,15363.65,199111.28,4607050.23,,73937.88333333335,1276644.7291666665,12495217.144166665,,0.20779131491682315,0.1559645181239815,0.36870509546533015,,False,True,True,True,True,False,True,True,True,True,True
114,PP_0528_PP_0751_PP_0813-R3,3,False,PP_0528_PP_0751_PP_0813,3,473.966,4335688.37,1.1809401929974013,PP_0528,PP_0751,PP_0813,,5485.45,76359.75,147142.11,,73937.88333333335,4218397.294999999,2820323.063333333,,0.07418997884034638,0.018101602257925783,0.05217207628196079,,False,True,True,True,True,False,True,True,True,True,True
115,PP_0751_PP_0814_PP_4191-R3,3,False,PP_0751_PP_0814_PP_4191,3,415.1324,2177547.203,0.593112971855902,PP_0751,PP_0814,PP_4191,,817329.529,120406.0,5011750.681,,4218397.294999999,176130.7333333333,12495217.144166665,,0.1937535684390771,0.6836172070670234,0.4010935242801853,,False,True,True,False,True,False,False,False,True,False,False
116,PP_0813_PP_0814-R3,3,False,PP_0813_PP_0814,2,373.2724,4085032.25,1.1126673233933573,PP_0813,PP_0814,,,38260.75,3478.25,,,2820323.063333333,176130.7333333333,,,0.013566087693081413,0.019748115131146906,,,False,True,True,True,False,False,True,True,True,True,True
117,PP_0751_PP_4189-R3,3,False,PP_0751_PP_4189,2,179.3426,5287239.2,1.4401204026735495,PP_0751,PP_4189,,,4945754.45,24655157.25,,,4218397.294999999,25916447.480833337,,,1.1724250003341616,0.9513324412319192,,,False,True,False,False,False,False,False,False,True,False,False
118,PP_0751_PP_0813-R3,3,False,PP_0751_PP_0813,2,422.9072,4152558.46,1.1310598850040026,PP_0751,PP_0813,,,2958536.62,457904.82,,,4218397.294999999,2820323.063333333,,,0.7013413894197941,0.16235899566016504,,,False,True,False,True,False,False,False,False,True,False,False
119,PP_1769_PP_4189-R3,3,False,PP_1769_PP_4189,2,334.2164,2349379.18,0.6399159869170385,PP_1769,PP_4189,,,1567411.9,19049121.08,,,1012275.7325,25916447.480833337,,,1.5484041054002051,0.7350205345114483,,,False,True,False,False,False,False,False,False,True,False,False
120,PP_0437_PP_0814-R1,1,False,PP_0437_PP_0814,2,303.0695,4961295.97,1.3513410836602697,PP_0437,PP_0814,,,1493.23,1493.23,,,61460.84166666667,176130.7333333333,,,0.024295632137590045,0.008477963906355924,,,False,True,True,True,False,False,True,False,True,False,False
121,PP_0814_PP_4189-R1,1,False,PP_0814_PP_4189,2,439.0957,4161528.32,1.1335030652548836,PP_0814,PP_4189,,,120377.0,9170503.8,,,176130.7333333333,25916447.480833337,,,0.6834525566425849,0.35384879840426053,,,False,True,False,True,False,False,False,False,True,False,False
