Protein.Group,PP_0751_PP_0813_PP_0815_log2_FC,PP_0751_PP_0813_PP_0815_log10_pval,PP_0528_PP_0751_PP_0815_log2_FC,PP_0528_PP_0751_PP_0815_log10_pval,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log10_pval,PP_0528_PP_0751_PP_0813_PP_0815_log2_FC,PP_0528_PP_0751_PP_0813_PP_0815_log10_pval,PP_0368_PP_0751_PP_0815_log2_FC,PP_0368_PP_0751_PP_0815_log10_pval,PP_0368_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0751_PP_0813_PP_0815_log10_pval,PP_0368_PP_0814_PP_0815_log2_FC,PP_0368_PP_0814_PP_0815_log10_pval,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log10_pval,PP_0368_PP_0751_PP_0814_PP_0815_log2_FC,PP_0368_PP_0751_PP_0814_PP_0815_log10_pval,PP_0812_PP_0813_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log10_pval,PP_0528_PP_0813_PP_0815_log2_FC,PP_0528_PP_0813_PP_0815_log10_pval,PP_0751_PP_0815_log2_FC,PP_0751_PP_0815_log10_pval,PP_0528_PP_0812_PP_0815_log2_FC,PP_0528_PP_0812_PP_0815_log10_pval,PP_0368_PP_0813_PP_0814_PP_0815_log2_FC,PP_0368_PP_0813_PP_0814_PP_0815_log10_pval,PP_0814_PP_0815_log2_FC,PP_0814_PP_0815_log10_pval,PP_0813_PP_0814_PP_0815_log2_FC,PP_0813_PP_0814_PP_0815_log10_pval,PP_0812_PP_0813_PP_0815_PP_1506_log2_FC,PP_0812_PP_0813_PP_0815_PP_1506_log10_pval,PP_0368_PP_0815_log2_FC,PP_0368_PP_0815_log10_pval,PP_0437_PP_0815_PP_1317_log2_FC,PP_0437_PP_0815_PP_1317_log10_pval,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log10_pval,PP_0528_PP_0815_log2_FC,PP_0528_PP_0815_log10_pval,PP_0815_PP_2136_log2_FC,PP_0815_PP_2136_log10_pval,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log10_pval,PP_0368_PP_0751_PP_0812_log2_FC,PP_0368_PP_0751_PP_0812_log10_pval,PP_0812_PP_0815_PP_1506_log2_FC,PP_0812_PP_0815_PP_1506_log10_pval
PP_0640,-3.250585132517567,2.745969825211835,-2.111523297224642,1.6770895547920701,,,-1.1420422754326152,2.0067152268291473,-0.8774625921912593,8.459986994688355,,,,,,,,,-1.5956328429337743,3.4320215681405672,,,-2.529750041992258,3.4587242088729617,-2.662086339530954,2.0491132394102434,-3.213500933079965,2.716335326066825,-3.4484871271958153,14.586691388249116,,,-0.8014716809799197,3.606791819403627,,,-1.546134398799282,1.8765091490931565,,,-4.506508036247615,12.53953908326032,,,,,,,,
PP_0657,1.5291222057444658,2.5365590547876846,1.5389304088638944,2.0181734029044662,1.1320720951340701,1.878757521493628,,,1.2913379952991866,3.958917107878124,1.248239854700402,6.03772738404049,1.2221411670185904,8.472530188672199,,,1.4800364845744531,9.128254424808722,0.7752544191678233,1.9493065270199663,1.1550512423235133,8.871792340145886,0.32692569024895146,1.9311017252247415,,,1.6482030720405252,1.6146967951638287,,,,,1.4264970947873676,4.566145513079808,0.9401788803290327,4.2718643837961885,,,0.9736633474051636,6.694590255392082,,,1.125217127041626,1.7418628020554376,1.1684489966185225,1.3707691594317384,0.8764393162423317,2.4531064992699703,1.4772572368574348,1.635145362860668
PP_0693,-5.093558441372167,11.632362589216541,-3.668349595519669,7.522831710658967,-1.867310716382648,2.8306056457531388,,,-1.0467922472169722,2.5745583215350303,,,-0.8535877136416997,2.474718216752295,-0.5156382020082328,2.8992638251879805,-2.080016144931467,2.130218672898938,-3.4623177571780777,3.710634285628476,-1.6410680679136591,1.3609216153901893,-2.510339898496967,2.053482592203455,-2.496566540512041,1.9927105459107384,-3.683355486531883,6.5183367663206955,-3.3804479333251143,11.40546369993572,-1.0678126469970863,5.825322308673859,-2.697594134889268,3.6342447960911275,,,-2.1602850748953193,1.51502675171589,-0.8030938612490912,1.4874588792289207,,,-1.697483958948105,2.4593469785295716,,,,,-3.287496347964207,2.9360468824894914
PP_0742,1.3301359062386346,1.5461651859886427,1.7246087769348553,1.8402449891230486,1.9564619681723618,2.2962812158278663,,,1.7841538623124786,2.608011874601331,1.6962484178416093,2.5347770694951426,1.528745618282342,1.8257407460036799,1.594275690039879,3.7321135743281375,1.6968085654284324,3.755834956365638,1.7967058080683715,1.445312092064578,2.076225387093687,1.772468300344535,1.6083504244668114,6.539682087072247,2.2297067281861582,2.124448280504604,1.1958446463335497,3.1765063539342036,1.3968122645898156,1.3844528112018122,1.8402867198115067,2.0422737390601604,1.9829096761748177,1.7222639415038272,1.5964336246681121,1.7468845192719966,2.087799247020291,2.1401246566232714,1.56652316482096,8.168546864510661,,,1.9655286717273255,1.9577012935286848,1.127566602171636,2.242317861933553,1.1962629709583799,2.347687284552034,1.8618908830545822,2.53041512831528
PP_0756,-4.814025297085814,12.467142120463917,-3.6145744199953938,8.26758390632816,-2.3717460114533115,2.701305721976038,-1.9426374243130333,1.8113637888756735,,,-1.465910617971306,8.415225437265681,,,-0.34168230060744587,1.4043237692305888,-2.781207390495357,1.9582007104396089,-2.052636670543902,10.882444327511045,-1.825213978281103,10.708130800285527,-2.8673847667410644,7.994341231979022,-2.199971402089067,11.16566470983577,-2.7329554834060548,3.897105048829771,-2.5408199825097237,5.408356914724267,-1.2007178783193484,1.6870149262385987,-2.201051432082545,11.408899280678913,-1.6406603328984748,3.141206472528087,-2.30818724254483,7.562209571548207,-1.2895115244681121,1.8432668340845393,-3.6325258423140876,12.279489753064889,,,-0.8471679942118077,1.3499907369939272,,,-5.323243197350919,12.816459385217556
PP_0763,0.9391155875981019,1.472681594840743,,,,,,,0.673267307244088,3.3555608547014892,0.6251279443216965,7.675123620837617,0.6276253143262733,3.2764937650181545,,,,,0.42995147829845193,4.4421568981086,0.6702584690711112,4.778932255001384,0.5520405269833463,1.881340927778526,0.9745008626701157,2.3968651588988803,,,,,0.9807929201554811,13.122556752555486,0.7595927758049957,2.5011617166836797,,,0.8915386272642655,2.6154045776066517,0.4318251199469661,1.3763571655340936,0.37464718909430283,4.866170225395311,0.6515265247971923,8.77979841479586,,,-0.564049857914856,1.4726028654136136,0.9109173829798102,11.947999535721816
PP_0797,-2.2671508891747227,2.007114502824912,-2.446140123289708,2.9500529625974643,,,,,-0.6383973730312521,1.4493869872417882,0.5544883420839024,3.0963341432138627,-0.5529536769011084,1.6043835065048457,,,,,0.9131900734108757,1.9460226756902144,,,,,,,-2.314758287074595,1.996850768430971,,,,,,,0.430951893079784,1.3534942601139734,,,-0.770324694629694,2.018952336863134,,,,,-0.5874904673645678,1.3843828099714433,,,-0.814573909366217,1.491260511069547
PP_0855,-1.095704861124585,4.669853125797255,,,,,,,-0.23827156453488504,1.9428780930622847,-1.2677796950922533,8.683258707419334,,,-0.4559228183253043,3.458286040671009,,,,,,,0.7933194735601506,5.687158243161767,0.5998925854650234,4.829259266659571,-0.3942954452280559,3.296266071135889,0.7011507727712774,1.6230230984862062,-0.5318741022532587,1.4706357734151447,,,,,0.8012653442882909,5.049219312921063,-0.2861880327675535,1.5733889709084796,0.7882125106268231,1.509638640364052,,,,,-0.5617916758492301,2.3816773551156105,,
PP_0859,-4.241625657981033,8.367090255031055,,,,,,,,,-4.8927330395692525,8.498932851202088,0.42301337963788005,2.8867684039733477,,,,,,,,,,,,,-4.276599485000403,8.402852313428507,,,,,,,,,0.5579857870585928,1.7521216961368997,,,-1.351319210735093,1.3388996780479592,0.557149109604634,3.578884170807504,,,,,,
PP_0870,-4.880125078719921,7.425419870276198,-4.610525035762405,7.38094627926674,,,-2.1692709288804397,2.1294238291479664,2.421773615368763,16.698047133751952,-2.2075274579451643,1.4688148333172402,,,2.3735119677166665,4.745396644077345,,,-1.2171898498940044,3.8723378778227016,-5.44942526072995,7.517470595272614,-2.146508736730131,6.152396299614209,-2.1464872579377987,5.9254921079484335,-2.5039549166420394,2.1916826937972966,-3.1670145124683837,6.950292663007802,2.454371134985071,12.182789409040744,-1.560428371536718,1.4448354845197462,,,-2.1270632657769686,3.576277218866787,2.173020122277949,5.849217724984819,-2.867621738595242,5.946869031244118,2.6258591458580303,3.5070521134388692,2.284388622497196,4.858435695866098,,,-2.106096668263296,1.6909389421696643
