,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
10,PP_0368_PP_0751_PP_4189-R2,2,False,PP_0368_PP_0751_PP_4189,3,371.7357,9068187.0,0.7633416617941551,PP_0368,PP_0751,PP_4189,,596599.5,3282381.0,19015549.5,,4753127.833333333,20411591.37,79821960.995,,0.12551724273353052,0.16080965665539873,0.2382245344885867,,False,True,True,True,True,False,True,True,True,True,True
11,PP_0368_PP_0812_PP_0814-R2,2,False,PP_0368_PP_0812_PP_0814,3,393.5354,12320453.08,1.0371108500678379,PP_0368,PP_0812,PP_0814,,152619.88,98754.04,,,4753127.833333333,6837733.683333334,,,0.03210935732249575,0.014442510424281147,,,True,True,True,True,True,False,True,True,True,True,True
12,PP_0368_PP_0813_PP_4189-R2,2,False,PP_0368_PP_0813_PP_4189,3,333.4547,14251431.4,1.199656704016073,PP_0368,PP_0813,PP_4189,,405841.2,2276585.2,33043586.1,,4753127.833333333,4654177.084166667,79821960.995,,0.08538402799812489,0.4891488138139084,0.4139661026627726,,False,True,True,True,True,False,True,False,True,False,False
13,PP_0368_PP_0814_PP_0815-R2,2,False,PP_0368_PP_0814_PP_0815,3,676.6958,11280491.9,0.9495690189010776,PP_0368,PP_0814,PP_0815,,204367.2,,,,4753127.833333333,,,,0.04299636095768096,,,,True,True,True,True,True,False,True,True,True,True,True
14,PP_0751_PP_0814_PP_4189-R2,2,False,PP_0751_PP_0814_PP_4189,3,518.1036,11193762.9,0.942268346894011,PP_0751,PP_0814,PP_4189,,384729.7,,30229778.6,,20411591.37,,79821960.995,,0.018848589168086995,,0.37871505815164797,,True,True,True,True,True,False,True,True,True,True,True
15,PP_0812_PP_0813_PP_0814-R2,2,False,PP_0812_PP_0813_PP_0814,3,405.1691,13784675.59,1.1603661428865466,PP_0812,PP_0813,PP_0814,,340471.3,48762.78,,,6837733.683333334,4654177.084166667,,,0.04979300390564836,0.010477207703567857,,,True,True,True,True,True,False,True,True,True,True,True
16,PP_0368_PP_0751_PP_0812-R3,3,False,PP_0368_PP_0751_PP_0812,3,561.7775,16232189.1,1.3663928856066787,PP_0368,PP_0751,PP_0812,,221346.8,577816.2,326035.0,,4753127.833333333,20411591.37,6837733.683333334,,0.04656866126084624,0.028308238663313976,0.04768173419720858,,False,True,True,True,True,False,True,True,True,True,True
17,PP_0368_PP_0751_PP_0813-R3,3,False,PP_0368_PP_0751_PP_0813,3,523.1448,17442107.23,1.4682413494715147,PP_0368,PP_0751,PP_0813,,214658.92,685864.99,532040.48,,4753127.833333333,20411591.37,4654177.084166667,,0.04516161305290654,0.03360174018612053,0.11431461897098444,,False,True,True,True,True,False,True,True,True,True,True
18,PP_0368_PP_0751_PP_4189-R3,3,False,PP_0368_PP_0751_PP_4189,3,396.2775,9046891.8,0.7615490748794567,PP_0368,PP_0751,PP_4189,,1003878.3,3924785.5,20483757.0,,4753127.833333333,20411591.37,79821960.995,,0.2112037242002784,0.19228219048949144,0.25661806280709,,False,True,True,True,True,False,True,True,True,True,True
19,PP_0368_PP_0812_PP_0814-R3,3,False,PP_0368_PP_0812_PP_0814,3,412.4297,15839629.2,1.3333479862878017,PP_0368,PP_0812,PP_0814,,93914.8,60768.4,,,4753127.833333333,6837733.683333334,,,0.019758526026037525,0.008887213631633566,,,True,True,True,True,True,False,True,True,True,True,True
