Protein,Spearman_Correlation,Average_Abundance_Control
Pp_4923,0.08906033770506641,0.005819272
Thic,-0.07942694335796428,0.05989181244444444
Pp_4919,0.23673013401344292,0.028494516611111114
Pp_4916,0.17025922358229642,0.0036902790000000003
Pare,0.27603951950353695,0.016256539611111107
Parc,0.21168947299766896,0.024109758888888888
Pp_4911,-0.07908455573460942,0.015470462999999999
Pp_4910,0.10417598189998135,0.013636633333333334
Serb,0.1483048972872202,0.05391908338888889
Psd,0.19492790247128253,0.007637597555555556
Rhda-2,0.21811865442112957,0.02573188638888889
Pp_4906,0.38424659977305364,0.002984400882352941
Pp_4905,0.31551193494157664,0.011078913166666668
Pp_4904,0.16272904957805906,0.008798072277777779
Rsga,0.0758006869750427,0.009563793277777777
Orn,0.29055460652171483,0.010347175722222221
Nnrd,-0.2670807453416149,0.0020973926666666668
Pp_4898,0.31791461636183177,0.03127064294444445
Pp_4897,-0.032684915550378564,
Mutl,-0.014145917717956903,0.0025735413333333335
Miaa,0.3673220256114242,0.008315007777777777
Hfq,0.3010760971643495,0.14383968044444445
