,Line Name,cycle,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
771,PP_0368_PP_0812-R3,2,FALSE,PP_0368_PP_0812,2,297.0306,3641763.9,0.991931383,PP_0368,PP_0812,,,0,519433,,,1540536.387,2931757.761,,,0,0.177174597,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,TRUE
948,PP_0368_PP_0812_PP_0813-R1,4,FALSE,PP_0368_PP_0812_PP_0813,3,458.8593,3365514.91,0.781852108,PP_0368,PP_0812,PP_0813,,75115.17,210329.9,28890.45,,1681609.469,3085595.791,4315439,,0.044668617,0.068165085,0.006694672,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
956,PP_0368_PP_0812_PP_0813-R2,4,FALSE,PP_0368_PP_0812_PP_0813,3,422.4387,3934114.94,0.913945158,PP_0368,PP_0812,PP_0813,,95162.86,80522.42,36601.1,,1681609.469,3085595.791,4315439,,0.056590345,0.026096231,0.008481431,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
964,PP_0368_PP_0812_PP_0813-R3,4,FALSE,PP_0368_PP_0812_PP_0813,3,419.347,4257509.1,0.989073753,PP_0368,PP_0812,PP_0813,,0,0,0,,1681609.469,3085595.791,4315439,,0,0,0,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
1180,PP_0368_PP_0812_PP_0813_PP_0815-R1,5,FALSE,PP_0368_PP_0812_PP_0813_PP_0815,4,628.5783,7649933.8,0.643955973,PP_0368,PP_0812,PP_0813,PP_0815,268936.6,174017.8,94918.8,,4753127.833,6837733.683,4654177.084,,0.056580974,0.025449631,0.020394325,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
1188,PP_0368_PP_0812_PP_0813_PP_0815-R2,5,FALSE,PP_0368_PP_0812_PP_0813_PP_0815,4,577.7701,12158513.5,1.023479103,PP_0368,PP_0812,PP_0813,PP_0815,375582.2,138233.7,75400.2,,4753127.833,6837733.683,4654177.084,,0.079017904,0.020216304,0.016200544,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
1196,PP_0368_PP_0812_PP_0813_PP_0815-R3,5,FALSE,PP_0368_PP_0812_PP_0813_PP_0815,4,560.0963,9055277.96,0.762255005,PP_0368,PP_0812,PP_0813,PP_0815,116676.44,75496.52,41179.92,,4753127.833,6837733.683,4654177.084,,0.024547297,0.011041161,0.008847949,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
1150,PP_0368_PP_0812_PP_0814-R3,5,FALSE,PP_0368_PP_0812_PP_0814,3,412.4297,15839629.2,1.333347986,PP_0368,PP_0812,PP_0814,,93914.8,60768.4,,,4753127.833,6837733.683,,,0.019758526,0.008887214,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
1134,PP_0368_PP_0812_PP_0814-R1,5,FALSE,PP_0368_PP_0812_PP_0814,3,402.0284,12653994.97,1.065187733,PP_0368,PP_0812,PP_0814,,28134.83,18204.89,,,4753127.833,6837733.683,,,0.005919224,0.002662416,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
1142,PP_0368_PP_0812_PP_0814-R2,5,FALSE,PP_0368_PP_0812_PP_0814,3,393.5354,12320453.08,1.03711085,PP_0368,PP_0812,PP_0814,,152619.88,98754.04,,,4753127.833,6837733.683,,,0.032109357,0.01444251,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
949,PP_0368_PP_0812_PP_0815-R1,4,FALSE,PP_0368_PP_0812_PP_0815,3,713.6108,2556706.98,0.593955693,PP_0368,PP_0812,PP_0815,,53607.58,97534.7,,,1681609.469,3085595.791,,,0.031878733,0.031609681,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
965,PP_0368_PP_0812_PP_0815-R3,4,FALSE,PP_0368_PP_0812_PP_0815,3,664.3135,3189651.37,0.740996761,PP_0368,PP_0812,PP_0815,,63908.91,54076.77,,,1681609.469,3085595.791,,,0.038004609,0.017525552,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
957,PP_0368_PP_0812_PP_0815-R2,4,FALSE,PP_0368_PP_0812_PP_0815,3,661.5642,2491190.7,0.578735424,PP_0368,PP_0812,PP_0815,,141182.6,244466,,,1681609.469,3085595.791,,,0.08395683,0.079228135,,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
1414,PP_0368_PP_0812_PP_0815-R2,6,FALSE,PP_0368_PP_0812_PP_0815,3,231.2582,8656016,0.577742208,PP_0368,PP_0812,PP_0815,,2643431.8,12684310.4,,,11090248.44,12236302.73,,,0.23835641,1.036612994,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1415,PP_0368_PP_0812_PP_0815-R1,6,FALSE,PP_0368_PP_0812_PP_0815,3,227.1785,7616435,0.508355804,PP_0368,PP_0812,PP_0815,,4164613.4,11180781.2,,,11090248.44,12236302.73,,,0.375520298,0.913738525,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1417,PP_0368_PP_0812_PP_0815-R3,6,FALSE,PP_0368_PP_0812_PP_0815,3,223.5996,7517819.7,0.501773767,PP_0368,PP_0812,PP_0815,,2554122,11301249,,,11090248.44,12236302.73,,,0.230303407,0.923583639,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1189,PP_0368_PP_0812_PP_0815_PP_1769-R2,5,FALSE,PP_0368_PP_0812_PP_0815_PP_1769,4,243.8465,15639254.4,1.31648084,PP_0368,PP_0812,PP_0815,PP_1769,833688.4,5510140.1,,6615051.3,4753127.833,6837733.683,,6583111.859,0.175397849,0.80584304,,1.004851724,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1197,PP_0368_PP_0812_PP_0815_PP_1769-R3,5,FALSE,PP_0368_PP_0812_PP_0815_PP_1769,4,232.7861,9621465.9,0.809915562,PP_0368,PP_0812,PP_0815,PP_1769,180541.7,7255828.4,,5689429.7,4753127.833,6837733.683,,6583111.859,0.037983767,1.061145218,,0.864246244,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1181,PP_0368_PP_0812_PP_0815_PP_1769-R1,5,FALSE,PP_0368_PP_0812_PP_0815_PP_1769,4,226.6956,12938562.3,1.089142035,PP_0368,PP_0812,PP_0815,PP_1769,839420.5,6396341.7,,7086215,4753127.833,6837733.683,,6583111.859,0.176603813,0.93544762,,1.076423301,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1190,PP_0368_PP_0812_PP_0815_PP_2136-R2,5,FALSE,PP_0368_PP_0812_PP_0815_PP_2136,4,594.634,9656254.82,0.812844023,PP_0368,PP_0812,PP_0815,PP_2136,130663.53,405910.9,,1798764.79,4753127.833,6837733.683,,12559180.17,0.02749001,0.059363368,,0.143223106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
1182,PP_0368_PP_0812_PP_0815_PP_2136-R1,5,FALSE,PP_0368_PP_0812_PP_0815_PP_2136,4,569.5938,9034941.6,0.760543131,PP_0368,PP_0812,PP_0815,PP_2136,438516.3,501224.1,,607291.1,4753127.833,6837733.683,,12559180.17,0.09225847,0.073302665,,0.048354358,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,TRUE
