,Strain,Time,Temperature,Titer
293,ΔPP_0813,48 hr,24,465.0547
294,ΔPP_0813,48 hr,24,491.3068
295,ΔPP_0814,48 hr,24,32.5884
296,ΔPP_0814,48 hr,24,30.9835
297,ΔPP_0814,48 hr,24,33.3488
298,ΔPP_0815,48 hr,24,161.7089
299,ΔPP_0815,48 hr,24,130.0161
300,ΔPP_0815,48 hr,24,151.5239
301,ΔPP_0812-15,48 hr,24,41.3291
302,ΔPP_0812-15,48 hr,24,43.263
303,ΔPP_0812-15,48 hr,24,51.1275
304,ΔPP_1317,48 hr,24,269.2682
305,ΔPP_1317,48 hr,24,319.7285
306,ΔPP_1317,48 hr,24,309.2951
307,ΔPP_2136,48 hr,24,714.0512
308,ΔPP_2136,48 hr,24,647.9458
309,ΔPP_2136,48 hr,24,573.9399
310,ΔPP_4120,48 hr,24,480.7151
311,ΔPP_4120,48 hr,24,449.9327
312,ΔPP_4120,48 hr,24,
313,ΔPP_4189,48 hr,24,468.9692
314,ΔPP_4189,48 hr,24,447.7808
315,ΔPP_4189,48 hr,24,472.5165
316,ΔPP_4191,48 hr,24,55.3558
317,ΔPP_4191,48 hr,24,60.7992
318,ΔPP_4191,48 hr,24,77.8971
319,ΔPP_0751 ΔPP_0812,48 hr,24,266.1123
320,ΔPP_0751 ΔPP_0812,48 hr,24,302.0801
321,ΔPP_0751 ΔPP_0812,48 hr,24,326.0393
322,ΔPP_1317 ΔPP_0812,48 hr,24,323.7096
323,ΔPP_1317 ΔPP_0812,48 hr,24,343.6947
324,ΔPP_1317 ΔPP_0812,48 hr,24,383.2583
325,ΔPP_0813-15 ΔPP_1317,48 hr,24,312.179
326,ΔPP_0813-15 ΔPP_1317,48 hr,24,315.4391
327,ΔPP_0813-15 ΔPP_1317,48 hr,24,350.5818
328,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,48 hr,24,61.3084
329,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,48 hr,24,94.6035
330,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,48 hr,24,93.1506
331,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,48 hr,24,594.573
332,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,48 hr,24,560.3338
333,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,48 hr,24,687.4167
334,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,48 hr,24,131.3251
335,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,48 hr,24,110.6083
