Protein.Group,File1_abundance,File2_abundance,log2_change,p_value,log10_p_value
PP_0375,0.013176153666666668,0.014954304444444443,0.18263152361338847,0.6013205964046165,0.22089392046569323
PP_0376,0.010315690333333334,0.016379895888888888,0.6670858165618239,0.07158075712581184,1.1452037122910381
PP_0377,0.009614336083333334,0.02740337311111111,1.5110943460154236,0.07099175863585186,1.148792065178341
PP_0378,0.08145459916666666,0.06295418244444445,-0.3716939313802723,0.2560969216879412,0.5915956417657581
PP_0379,0.03196490566666667,0.04186857822222222,0.38937909147938543,0.36827964809001634,0.433822280510878
PP_0382,0.011974656416666667,0.02046043111111111,0.772852281713861,0.0004449103946849769,3.3517274474738246
PP_0386,0.0010049180833333333,0.0009372663333333335,-0.10054693674177857,0.9277577889640819,0.032565390856925704
PP_0387,0.066712619,0.10013141111111111,0.5858630322216897,0.01061803489292713,1.973955851816409
PP_0389,0.22551464591666667,0.26786628700000004,0.2482918870051214,0.002679304146540826,2.5719779837912293
PP_0390,0.01454583925,0.023565574555555555,0.6960743184430717,2.9784549830300794e-05,4.526008959530009
PP_0395,0.04334862266666667,0.027035719222222223,-0.681119418376403,0.0009565918286763994,3.0192733332444295
PP_0396,0.03281920975,0.021241884222222222,-0.6276287573559051,0.001838989116076163,2.73542084109474
PP_0397,0.3286740155,0.2632160396666667,-0.3204099978614927,0.08937548914657305,1.0487815683172832
PP_0398,0.022670864750000002,0.030079905666666667,0.4079606207863068,0.02194313321188806,1.6587013603765906
PP_0400,0.0112649405,0.009463943555555555,-0.2513263191031829,0.11331170885366273,0.9457252108091806
PP_0401,0.014573600166666667,0.017196428111111113,0.23875161692268682,0.32018735894185346,0.4945958181074405
PP_0402,0.006342380000000001,0.004494945888888889,-0.49672056988792435,0.15654125797058513,0.8053711804976844
PP_0403,0.048680743,0.034716375333333334,-0.4877348608854214,0.008503749303706638,2.0703895515917323
PP_0405,0.018047885666666666,0.02096763877777778,0.2163345714041357,0.15394998916947855,0.8126203373137929
PP_0411,0.0026187685000000002,0.0063398713333333336,1.275565030791203,0.023024706899928273,1.6378058895807983
PP_0412,0.010751120416666668,0.009143606777777778,-0.2336517499145202,0.30924111470785043,0.5097027699164237
PP_0415,0.04185058775,0.048211090222222225,0.20411717037033691,0.04106626650739918,1.386514778737241
PP_0417,0.05640103258333334,0.0788924921111111,0.48416643559210215,0.04600656697820444,1.3371801726914727
PP_0420,0.035613163999999996,0.03141150422222222,-0.18111758366934427,0.5082093931420741,0.29395731222529725
