Line Name,Measurement Type,Value,Time,Units
PP_4120,sp|Q88IQ8,7930.47,24,counts
PP_4120,sp|Q88IZ6,7930.47,24,counts
PP_4120,sp|Q88JB0,7930.47,24,counts
PP_4120,sp|Q88JC2,7930.47,24,counts
PP_4120,sp|Q88JD9,7930.47,24,counts
PP_4120,sp|Q88JS3,7930.47,24,counts
PP_4120,sp|Q88JS9,7930.47,24,counts
PP_4120,sp|Q88K44,7930.47,24,counts
PP_4120,sp|Q88K73,7930.47,24,counts
PP_4120,sp|Q88KE3,7930.47,24,counts
PP_4120,sp|Q88KH9,7930.47,24,counts
PP_4120,sp|Q88KR2,7930.47,24,counts
PP_4120,sp|Q88KR5,7930.47,24,counts
PP_4120,sp|Q88KS6,7930.47,24,counts
PP_4120,sp|Q88KT8,7930.47,24,counts
PP_4120,sp|Q88L07,7930.47,24,counts
PP_4120,sp|Q88L42,7930.47,24,counts
PP_4120,sp|Q88L49,7930.47,24,counts
PP_4120,sp|Q88L94,7930.47,24,counts
PP_4120,sp|Q88LE0,7930.47,24,counts
PP_4120,sp|Q88LF0,7930.47,24,counts
PP_4120,sp|Q88LH1,7930.47,24,counts
PP_4120,sp|Q88LK3,7930.47,24,counts
PP_4120,sp|Q88LM6,7930.47,24,counts
PP_4120,sp|Q88LQ1,7930.47,24,counts
PP_4120,sp|Q88LR2,7930.47,24,counts
PP_4120,sp|Q88LV7,7930.47,24,counts
PP_4120,sp|Q88M80,7930.47,24,counts
PP_4120,sp|Q88MB5,7930.47,24,counts
PP_4120,sp|Q88MJ5,7930.47,24,counts
PP_4120,sp|Q88MP0,7930.47,24,counts
PP_4120,sp|Q88MP2,7930.47,24,counts
PP_4120,sp|Q88MS6,7930.47,24,counts
PP_4120,sp|Q88MW4,7930.47,24,counts
PP_4120,sp|Q88N19,7930.47,24,counts
PP_4120,sp|Q88N38,7930.47,24,counts
PP_4120,sp|Q88N66,7930.47,24,counts
PP_4120,sp|Q88N79,7930.47,24,counts
PP_4120,sp|Q88NE3,7930.47,24,counts
PP_4120,sp|Q88NI3,7930.47,24,counts
PP_4120,sp|Q88NI7,7930.47,24,counts
PP_4120,sp|Q88NI9,7930.47,24,counts
PP_4120,sp|Q88NQ3,7930.47,24,counts
PP_4120,sp|Q88NS7,7930.47,24,counts
PP_4120,sp|Q88PG8,7930.47,24,counts
PP_4120,sp|Q88PH9,7930.47,24,counts
PP_4120,sp|Q88PM0,7930.47,24,counts
PP_4120,sp|Q88PV5,7930.47,24,counts
PP_4120,sp|Q88Q22,7930.47,24,counts
PP_4120,sp|Q88Q78,7930.47,24,counts
PP_4120,sp|Q88QB4,7930.47,24,counts
PP_4120,sp|Q88QE3,7930.47,24,counts
PP_4120,sp|Q88QE6,7930.47,24,counts
PP_4120,sp|Q88QF8,7930.47,24,counts
PP_4120,sp|Q88QI0,7930.47,24,counts
PP_4120,sp|Q88QJ9,7930.47,24,counts
PP_4120,sp|Q88QQ1,7930.47,24,counts
PP_4120,sp|Q88QR5,7930.47,24,counts
PP_4120,sp|Q88QT0,7930.47,24,counts
PP_4120,sp|Q88QU4,7930.47,24,counts
PP_4120,sp|Q88QU5,7930.47,24,counts
PP_4120,sp|Q88QX1,7930.47,24,counts
PP_4120,sp|Q88RJ5,7930.47,24,counts
PP_4120,sp|Q88RW4,7930.47,24,counts
PP_0814,sp|A0A140FW50,8758.36,24,counts
PP_0814,sp|A0A140FW85,8758.36,24,counts
PP_0814,sp|A0A140FWH0,8758.36,24,counts
PP_0814,sp|P63165,8758.36,24,counts
PP_0814,sp|Q88C26,8758.36,24,counts
PP_0814,sp|Q88C29,8758.36,24,counts
PP_0814,sp|Q88C52,8758.36,24,counts
PP_0814,sp|Q88C61,8758.36,24,counts
PP_0814,sp|Q88C71,8758.36,24,counts
PP_0814,sp|Q88CA7,8758.36,24,counts
PP_0814,sp|Q88CF5,8758.36,24,counts
PP_0814,sp|Q88CL6,8758.36,24,counts
PP_0814,sp|Q88CP8,8758.36,24,counts
PP_0814,sp|Q88CS9,8758.36,24,counts
PP_0814,sp|Q88CU2,8758.36,24,counts
PP_0814,sp|Q88D10,8758.36,24,counts
PP_0814,sp|Q88D16,8758.36,24,counts
PP_0814,sp|Q88D26,8758.36,24,counts
PP_0814,sp|Q88D33,8758.36,24,counts
PP_0814,sp|Q88D65,8758.36,24,counts
PP_0814,sp|Q88D86,8758.36,24,counts
PP_0814,sp|Q88DG7,8758.36,24,counts
PP_0814,sp|Q88DH6,8758.36,24,counts
PP_0814,sp|Q88DH8,8758.36,24,counts
PP_0814,sp|Q88DJ7,8758.36,24,counts
PP_0814,sp|Q88DK4,8758.36,24,counts
PP_0814,sp|Q88DN9,8758.36,24,counts
PP_0814,sp|Q88DX0,8758.36,24,counts
PP_0814,sp|Q88E09,8758.36,24,counts
PP_0814,sp|Q88E25,8758.36,24,counts
PP_0814,sp|Q88E37,8758.36,24,counts
PP_0814,sp|Q88E73,8758.36,24,counts
PP_0814,sp|Q88E76,8758.36,24,counts
PP_0814,sp|Q88E87,8758.36,24,counts
PP_0814,sp|Q88E92,8758.36,24,counts
PP_0814,sp|Q88EA5,8758.36,24,counts
PP_0814,sp|Q88EB3,8758.36,24,counts
PP_0814,sp|Q88EF2,8758.36,24,counts
PP_0814,sp|Q88EG8,8758.36,24,counts
PP_0814,sp|Q88EI1,8758.36,24,counts
PP_0814,sp|Q88ES8,8758.36,24,counts
PP_0814,sp|Q88EU4,8758.36,24,counts
PP_0814,sp|Q88EZ2,8758.36,24,counts
PP_0814,sp|Q88F03,8758.36,24,counts
PP_0814,sp|Q88F94,8758.36,24,counts
PP_0814,sp|Q88FF1,8758.36,24,counts
PP_0814,sp|Q88FF4,8758.36,24,counts
PP_0814,sp|Q88FH7,8758.36,24,counts
PP_0814,sp|Q88FI2,8758.36,24,counts
PP_0814,sp|Q88FI6,8758.36,24,counts
PP_0814,sp|Q88FJ6,8758.36,24,counts
PP_0814,sp|Q88FJ8,8758.36,24,counts
PP_0814,sp|Q88FT5,8758.36,24,counts
PP_0814,sp|Q88FT7,8758.36,24,counts
PP_0814,sp|Q88FZ2,8758.36,24,counts
PP_0814,sp|Q88G30,8758.36,24,counts
PP_0814,sp|Q88G97,8758.36,24,counts
PP_0814,sp|Q88GD8,8758.36,24,counts
PP_0814,sp|Q88GI4,8758.36,24,counts
PP_0814,sp|Q88GK1,8758.36,24,counts
PP_0814,sp|Q88GQ3,8758.36,24,counts
PP_0814,sp|Q88GQ5,8758.36,24,counts
PP_0814,sp|Q88GU0,8758.36,24,counts
PP_0814,sp|Q88GU4,8758.36,24,counts
PP_0814,sp|Q88GW8,8758.36,24,counts
PP_0814,sp|Q88GW9,8758.36,24,counts
PP_0814,sp|Q88H15,8758.36,24,counts
PP_0814,sp|Q88H30,8758.36,24,counts
PP_0814,sp|Q88H31,8758.36,24,counts
PP_0814,sp|Q88H61,8758.36,24,counts
PP_0814,sp|Q88HC5,8758.36,24,counts
PP_0814,sp|Q88HR5,8758.36,24,counts
PP_0814,sp|Q88HW4,8758.36,24,counts
PP_0814,sp|Q88HY3,8758.36,24,counts
PP_0814,sp|Q88I46,8758.36,24,counts
PP_0814,sp|Q88I63,8758.36,24,counts
PP_0814,sp|Q88I78,8758.36,24,counts
PP_0814,sp|Q88I79,8758.36,24,counts
PP_0814,sp|Q88IA2,8758.36,24,counts
PP_0814,sp|Q88IC1,8758.36,24,counts
PP_0814,sp|Q88IH5,8758.36,24,counts
PP_0814,sp|Q88IQ8,8758.36,24,counts
PP_0814,sp|Q88IT5,8758.36,24,counts
PP_0814,sp|Q88IZ6,8758.36,24,counts
PP_0814,sp|Q88JB0,8758.36,24,counts
PP_0814,sp|Q88JS3,8758.36,24,counts
PP_0814,sp|Q88K09,8758.36,24,counts
PP_0814,sp|Q88K44,8758.36,24,counts
PP_0814,sp|Q88K49,8758.36,24,counts
PP_0814,sp|Q88K59,8758.36,24,counts
PP_0814,sp|Q88K73,8758.36,24,counts
PP_0814,sp|Q88KE3,8758.36,24,counts
PP_0814,sp|Q88KH9,8758.36,24,counts
PP_0814,sp|Q88KR2,8758.36,24,counts
PP_0814,sp|Q88KS6,8758.36,24,counts
PP_0814,sp|Q88KT8,8758.36,24,counts
PP_0814,sp|Q88KX4,8758.36,24,counts
PP_0814,sp|Q88L07,8758.36,24,counts
PP_0814,sp|Q88L28,8758.36,24,counts
PP_0814,sp|Q88L42,8758.36,24,counts
PP_0814,sp|Q88LE0,8758.36,24,counts
PP_0814,sp|Q88LF0,8758.36,24,counts
PP_0814,sp|Q88LK3,8758.36,24,counts
PP_0814,sp|Q88LM6,8758.36,24,counts
PP_0814,sp|Q88LQ1,8758.36,24,counts
PP_0814,sp|Q88LR2,8758.36,24,counts
PP_0814,sp|Q88LX1,8758.36,24,counts
PP_0814,sp|Q88M80,8758.36,24,counts
PP_0814,sp|Q88MB5,8758.36,24,counts
PP_0814,sp|Q88MD1,8758.36,24,counts
PP_0814,sp|Q88MF4,8758.36,24,counts
PP_0814,sp|Q88MJ5,8758.36,24,counts
PP_0814,sp|Q88MP0,8758.36,24,counts
PP_0814,sp|Q88MS6,8758.36,24,counts
PP_0814,sp|Q88MW4,8758.36,24,counts
PP_0814,sp|Q88N19,8758.36,24,counts
PP_0814,sp|Q88N29,8758.36,24,counts
PP_0814,sp|Q88N35,8758.36,24,counts
PP_0814,sp|Q88N38,8758.36,24,counts
