Protein,PC1,PC2
Hflc,-0.015063124655624795,0.03716247663316473
Hfld,-0.004822480089979821,0.01125810167819453
Hflk,-0.005981234350966062,0.03739207883552829
Hflx,-0.01379848699565711,-0.02938838008029168
Hfq,-0.023382493064392825,-0.008497032661653066
Hisa,0.008682728193913821,0.00856795324982283
Hisb,-0.02020625828669097,-0.014177406408346943
Hisc,-0.018443665065372487,0.01139706998066461
Hisd,-0.016360666809075,0.004213860282875792
Hise,-0.009818533147406923,0.010708957238227337
Hisf,-0.015029589570332198,0.0027686590846163627
Hisg,-0.0028331266823875705,0.02422770712743881
Hish,-0.0011625697310681837,0.007252778956548526
Hisi,-0.016465621890013358,0.0070992404215538315
Hiss,-0.0003395717800413035,-0.0010308615807566577
Hisz,0.002473029586991242,0.017977773488172276
Hlde,-0.028044277820846453,0.0038582392617229583
Hmga,-0.008119841282888464,-0.011999375069023063
Hola,-0.018339567983561282,-0.0018860226210433173
Hom,-0.020756775352617055,-0.031921657487628256
Hpd,-0.017085719137572116,-0.022231157432339565
Hpf,-0.023529015432983906,0.02402554745639386
Hpra,-0.02475914501130796,0.012704695260509831
Hrpa,-0.017493848850425764,-0.02113196967283856
Hrpb,-0.02012857555807876,-0.010946853683798548
Hsca,-0.0011878022459707162,-0.007174041291435909
Hsdm,-0.00036953253670847904,0.00648859498010586
Hsdr,-0.019609127121730963,-0.014530637048496376
Hsds,-0.011602213203239826,-0.005663069416523188
Hslo,0.007186782531082007,0.010915616879322982
Hslu,-0.014921255431349385,0.004184963904212785
Hslv,-0.005915224950881675,0.030109448611763408
Htpg,0.008978146448098709,0.0009649248516517009
Htpx,0.008313102564175102,0.026574327680308308
Hupa,-0.015509080660228564,-0.01842969574047879
Hupb,-0.00040428882579443055,0.051183119676223424
Hupn,-0.02159103210271182,-0.036815577969019415
Hutc,-0.008885656100212837,0.010019838648337493
Huth,-0.003582323274152903,-0.0015111956804529016
Hyi,-0.0075495248863208615,0.029835431509382566
Hyua,0.011232093659249676,0.03673472815419986
Ibpa,0.011845340850660904,-0.03276624506346084
Icd,-0.04954888835291964,0.012791095190648888
Ihfa,-0.030779092520664974,0.020757225825713495
Ihfb,-0.022013471862306677,0.023207323499686357
